Id,Degree,Depth
84365,720,1
76656,50,2
74730,12,3
62568,2,3
57229,11,3
35496,7,3
17825,18,3
74147,11,2
19748,2,3
37981,3,3
53729,2,3
54881,3,3
69004,1,3
97062,230,2
60324,36,3
78520,21,3
83993,46,3
48130,9,3
56915,25,3
24818,42,3
9502,51,3
10562,15,2
30987,1,3
41884,2,3
97577,3,3
61958,1,3
76095,2,3
27079,4,3
55951,2,3
59698,190,2
51833,4,3
59302,5,3
10530,7,3
37237,59,3
951,15,3
86604,39,3
37502,16,3
33145,45,3
52020,224,2
47004,44,3
68524,15,3
37106,53,3
88996,58,3
97265,54,3
20780,67,1
38369,23,2
51846,2,3
89715,1,3
21670,4,3
97784,5,3
60352,1,3
36905,3,3
3253,3,3
56010,4,3
15321,17,2
21747,3,3
57663,4,3
56616,2,3
47850,6,3
44453,2,3
96036,1,2
66377,1,3
98744,5,2
67213,1,3
25234,2,3
60092,1,3
28737,1,3
64873,10,2
27735,2,3
15092,4,3
25845,2,3
73343,2,3
17270,11,2
67307,4,3
21694,1,3
91566,1,3
92531,3,3
28869,2,3
49791,1218,1
38050,340,2
20293,69,3
42242,2,3
24472,82,3
14655,10,3
25501,30,3
94187,60,3
71260,10,3
66741,77,3
10627,282,2
27123,67,3
54197,26,3
35375,20,3
99442,54,3
60879,1,3
95042,79,3
12672,35,3
5726,30,2
2111,1,3
61967,7,3
78563,1,3
21203,6,3
61876,2,3
15208,5,3
49316,8,3
15039,114,2
74482,22,3
5232,29,3
79579,33,3
12349,1,3
93957,23,3
39968,6,3
39512,227,2
46741,8,3
57326,65,3
27420,76,3
4669,1,3
61382,65,3
86177,12,3
37689,7,2
95840,2,3
33607,1,3
95077,2,3
7479,1,3
66003,1,3
29778,218,2
98770,63,3
4108,2,3
15156,45,3
67711,16,3
64809,11,3
62598,45,3
59771,36,3
58294,32,1
74947,7,2
66583,1,3
2602,1,3
12009,2,3
80446,1,3
6904,2,3
27646,5,2
15128,1,3
19416,2,3
93444,1,3
99938,1,3
47724,9,2
70002,2,3
29585,2,3
65482,1,3
1370,1,3
25077,2,3
4242,1,3
4608,2,2
28525,1,3
80612,1,3
84484,2,2
66837,1,3
83650,1,3
66697,2,2
85821,1,3
34575,1,3
19262,5,2
67471,2,3
10667,1,3
62316,1,3
20173,1,3
76936,1242,1
38037,54,2
47798,4,3
47951,6,3
16033,1,3
70822,5,3
5716,5,3
39858,12,3
23580,21,3
96151,163,2
4117,2,3
48334,12,3
1879,5,3
20672,45,3
60107,3,3
12435,58,3
17335,13,3
41989,25,3
22214,369,2
80179,76,3
40943,11,3
59499,82,3
32960,92,3
4348,5,3
63631,103,3
24113,14,2
8324,3,3
20094,1,3
9687,4,3
98027,3,3
64118,2,3
30667,1,3
94506,153,2
87212,9,3
42812,7,3
77710,55,3
9178,5,3
52565,10,3
50182,67,3
84002,142,2
49175,18,3
21846,9,3
87618,41,3
86095,3,3
44934,32,3
74196,20,3
3662,19,3
5212,347,2
82875,74,3
57926,88,3
58157,11,3
94047,35,3
73405,53,3
21357,6,3
14601,80,3
7951,817,1
23177,236,2
42605,43,3
51358,16,3
79894,19,3
99070,41,3
86283,1,3
26114,68,3
6096,48,3
77985,14,2
60039,4,3
59635,1,3
82779,4,3
33987,2,3
24592,3,3
43601,151,2
64598,40,3
43519,11,3
65329,24,3
92605,23,3
61607,44,3
56347,9,3
6515,62,2
53673,6,3
33395,12,3
12447,1,3
70981,19,3
54802,11,3
82732,6,3
50,7,3
58599,13,2
63435,7,3
71875,1,3
1856,1,3
6183,1,3
24264,1,3
21688,1,3
55560,1,3
46197,249,2
76240,46,3
84433,58,3
32556,10,3
97471,29,3
94301,40,3
88362,7,3
79693,59,3
32871,92,2
15189,30,3
74726,2,3
53140,25,3
78698,3,3
21545,4,3
3940,25,3
15733,1,3
7109,2,3
0,4096,0
