X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
976011.88000011,172934.06999969,39.63000107,35.000000,11.000000,1.000000,1.000000,1.000000,62011.096434,1367.000000
976011.63000011,172933.11000061,41.77999878,35.000000,11.000000,1.000000,1.000000,1.000000,62011.096436,1635.000000
976011.48999977,172932.50000000,41.77999878,35.000000,11.000000,1.000000,1.000000,1.000000,62011.096439,1636.000000
976011.89999962,172932.38000107,41.77999878,32.000000,15.000000,1.000000,1.000000,1.000000,62309.979246,1462.000000
976009.47000027,172934.65999985,39.84999847,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.403654,1473.000000
976009.36999989,172934.45999908,40.97999954,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.403654,1298.000000
976009.27000046,172934.06999969,41.68999863,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.403654,1432.000000
976009.14999962,172933.40000153,41.68000031,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.403654,1445.000000
976011.42000008,172932.09000015,40.88000107,35.000000,11.000000,1.000000,1.000000,1.000000,62011.096441,1258.000000
976011.39000034,172931.84000015,39.22999954,35.000000,11.000000,1.000000,1.000000,1.000000,62011.096444,1466.000000
976011.52999973,172933.63999939,41.70000076,32.000000,15.000000,1.000000,1.000000,1.000000,62309.979246,1580.000000
976011.42000008,172933.95000076,40.29999924,32.000000,15.000000,1.000000,1.000000,1.000000,62309.979246,1274.000000
976011.28999996,172934.34999847,39.56000137,32.000000,15.000000,1.000000,1.000000,1.000000,62309.979277,1402.000000
976008.90999985,172934.68999863,40.65999985,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.411161,1313.000000
976008.81999969,172934.45999908,41.63999939,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.411161,1388.000000
976008.68000031,172933.70000076,41.65999985,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.411161,1432.000000
976008.86999989,172934.68999863,40.95000076,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.418638,1280.000000
976008.26000023,172934.36999893,41.63999939,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.426146,1359.000000
976008.13000011,172933.65999985,41.63000107,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.426146,1408.000000
976007.42999983,172934.15000153,41.58000183,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.433653,1418.000000
976007.30999994,172933.45999908,41.59000015,31.000000,-25.000000,1.000000,2.000000,1.000000,62483.433653,522.000000
976006.76000023,172934.52000046,41.54999924,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.441160,1473.000000
976006.63000011,172933.79000092,41.58000183,31.000000,-25.000000,1.000000,2.000000,1.000000,62483.441160,959.000000
976011.00000000,172934.59000015,39.24000168,35.000000,11.000000,1.000000,1.000000,1.000000,62011.103935,1495.000000
976010.72999954,172933.56000137,41.72999954,35.000000,11.000000,1.000000,1.000000,1.000000,62011.103937,1671.000000
976010.60000038,172932.97999954,41.75999832,35.000000,11.000000,1.000000,1.000000,1.000000,62011.103940,1702.000000
976010.48999977,172932.47000122,41.31000137,35.000000,11.000000,1.000000,1.000000,1.000000,62011.103943,1357.000000
976006.30000019,172934.56999969,41.52999878,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.448668,1462.000000
