Source,Target,Type
0,26458,Directed
26458,61652,Directed
61652,97895,Directed
61652,78487,Directed
61652,66422,Directed
61652,96692,Directed
61652,88140,Directed
61652,90340,Directed
61652,8199,Directed
26458,49250,Directed
49250,64098,Directed
49250,61999,Directed
49250,17063,Directed
49250,25383,Directed
49250,77890,Directed
49250,79316,Directed
49250,45379,Directed
26458,17338,Directed
17338,63226,Directed
17338,65390,Directed
17338,15328,Directed
17338,52770,Directed
17338,61807,Directed
17338,22338,Directed
17338,26564,Directed
17338,55990,Directed
26458,92727,Directed
92727,79865,Directed
92727,74283,Directed
92727,55275,Directed
92727,89283,Directed
92727,67868,Directed
92727,46329,Directed
92727,23911,Directed
92727,83662,Directed
26458,91070,Directed
91070,28359,Directed
91070,46779,Directed
91070,12747,Directed
91070,75914,Directed
91070,3368,Directed
91070,72078,Directed
91070,87223,Directed
91070,69378,Directed
26458,69401,Directed
69401,14832,Directed
69401,5905,Directed
69401,83765,Directed
69401,2221,Directed
69401,16472,Directed
0,60962,Directed
60962,43968,Directed
43968,21899,Directed
43968,3222,Directed
43968,59231,Directed
43968,31135,Directed
43968,7988,Directed
43968,35919,Directed
43968,6201,Directed
43968,28480,Directed
60962,49172,Directed
49172,63337,Directed
49172,45280,Directed
49172,22737,Directed
49172,83783,Directed
49172,86658,Directed
49172,63440,Directed
49172,95064,Directed
60962,30217,Directed
30217,77086,Directed
30217,11378,Directed
30217,23710,Directed
30217,39354,Directed
60962,63605,Directed
63605,35909,Directed
63605,61233,Directed
63605,4919,Directed
63605,40419,Directed
63605,24844,Directed
63605,44802,Directed
63605,79773,Directed
60962,18840,Directed
18840,20070,Directed
18840,91155,Directed
18840,96591,Directed
18840,64363,Directed
60962,27931,Directed
27931,97759,Directed
27931,24551,Directed
27931,85131,Directed
27931,52012,Directed
27931,3484,Directed
0,49875,Directed
49875,98087,Directed
98087,67880,Directed
98087,56033,Directed
98087,54887,Directed
98087,42797,Directed
98087,59172,Directed
98087,73534,Directed
98087,56675,Directed
98087,94744,Directed
49875,6904,Directed
6904,31088,Directed
6904,83123,Directed
49875,45288,Directed
45288,67817,Directed
45288,46447,Directed
45288,27062,Directed
45288,5439,Directed
45288,21665,Directed
45288,84446,Directed
45288,45633,Directed
49875,90600,Directed
90600,92758,Directed
90600,1680,Directed
90600,64009,Directed
90600,39414,Directed
90600,3233,Directed
90600,45334,Directed
49875,48821,Directed
48821,10043,Directed
48821,94525,Directed
48821,94148,Directed
48821,52707,Directed
48821,91064,Directed
48821,92142,Directed
48821,89997,Directed
49875,67231,Directed
67231,25334,Directed
67231,10391,Directed
67231,90540,Directed
67231,85645,Directed
67231,51110,Directed
49875,55079,Directed
55079,17024,Directed
49875,89112,Directed
89112,13662,Directed
89112,12304,Directed
89112,57493,Directed
89112,53465,Directed
89112,20714,Directed
89112,19837,Directed
89112,84254,Directed
89112,22730,Directed
0,94232,Directed
94232,63431,Directed
63431,12451,Directed
63431,66585,Directed
63431,50294,Directed
63431,68730,Directed
94232,61349,Directed
61349,7703,Directed
61349,37301,Directed
61349,75641,Directed
61349,96302,Directed
61349,95407,Directed
61349,82617,Directed
94232,95625,Directed
95625,44817,Directed
95625,89006,Directed
94232,93679,Directed
93679,91015,Directed
93679,95437,Directed
93679,64626,Directed
93679,56294,Directed
93679,64023,Directed
94232,90208,Directed
90208,65682,Directed
90208,85723,Directed
90208,65625,Directed
94232,59299,Directed
59299,29563,Directed
59299,52510,Directed
59299,96615,Directed
59299,83321,Directed
94232,19866,Directed
19866,23910,Directed
19866,16258,Directed
19866,13280,Directed
19866,56429,Directed
19866,56221,Directed
19866,20710,Directed
0,85717,Directed
85717,29950,Directed
29950,23203,Directed
29950,71168,Directed
29950,59394,Directed
29950,87763,Directed
29950,37784,Directed
29950,95412,Directed
29950,53093,Directed
85717,14459,Directed
14459,38081,Directed
14459,37211,Directed
14459,31360,Directed
14459,8069,Directed
14459,80439,Directed
14459,57426,Directed
14459,62903,Directed
14459,29821,Directed
85717,49136,Directed
49136,38645,Directed
49136,63382,Directed
49136,64761,Directed
49136,93613,Directed
49136,62808,Directed
49136,70802,Directed
85717,22799,Directed
22799,72321,Directed
22799,96963,Directed
22799,25553,Directed
22799,31754,Directed
22799,36659,Directed
22799,76346,Directed
85717,7438,Directed
7438,92945,Directed
7438,51206,Directed
7438,14048,Directed
7438,45785,Directed
7438,95824,Directed
7438,75868,Directed
85717,59753,Directed
59753,60687,Directed
59753,15727,Directed
59753,70664,Directed
59753,29520,Directed
59753,40962,Directed
59753,53102,Directed
59753,95912,Directed
59753,63119,Directed
85717,21705,Directed
21705,81608,Directed
21705,50899,Directed
21705,54789,Directed
21705,59499,Directed
21705,46856,Directed
21705,54945,Directed
0,46331,Directed
46331,83428,Directed
83428,40067,Directed
83428,59032,Directed
83428,59311,Directed
83428,64775,Directed
83428,46266,Directed
83428,81522,Directed
83428,33934,Directed
46331,38721,Directed
38721,13656,Directed
46331,74783,Directed
74783,87426,Directed
74783,21338,Directed
74783,59726,Directed
74783,91864,Directed
74783,72086,Directed
74783,55696,Directed
74783,67918,Directed
46331,75478,Directed
75478,78947,Directed
75478,27974,Directed
75478,33851,Directed
46331,20331,Directed
20331,6004,Directed
20331,8948,Directed
20331,56662,Directed
20331,66079,Directed
20331,56450,Directed
46331,5155,Directed
5155,19511,Directed
5155,21422,Directed
5155,18909,Directed
5155,70077,Directed
5155,30009,Directed
5155,24741,Directed
5155,90359,Directed
46331,91801,Directed
91801,51007,Directed
91801,28686,Directed
91801,38675,Directed
91801,33963,Directed
91801,86546,Directed
91801,88689,Directed
46331,13686,Directed
13686,2225,Directed
13686,92777,Directed
13686,75336,Directed
13686,75779,Directed
13686,40801,Directed
13686,5896,Directed
13686,91367,Directed
13686,34419,Directed
