Id,Degree,Depth
26458,980,1
61652,92,2
97895,1,3
78487,23,3
66422,2,3
96692,24,3
88140,3,3
90340,15,3
8199,24,3
49250,24,2
64098,3,3
61999,6,3
17063,2,3
25383,3,3
77890,2,3
79316,5,3
45379,3,3
17338,304,2
63226,48,3
65390,34,3
15328,61,3
52770,25,3
61807,31,3
22338,53,3
26564,50,3
55990,2,3
92727,46,2
79865,7,3
74283,10,3
55275,4,3
89283,6,3
67868,4,3
46329,4,3
23911,6,3
83662,5,3
91070,296,2
28359,25,3
46779,6,3
12747,21,3
75914,68,3
3368,45,3
72078,51,3
87223,23,3
69378,57,3
69401,218,2
14832,57,3
5905,22,3
83765,45,3
2221,47,3
16472,47,3
60962,143,1
43968,60,2
21899,6,3
3222,1,3
59231,6,3
31135,12,3
7988,9,3
35919,7,3
6201,8,3
28480,11,3
49172,35,2
63337,4,3
45280,8,3
22737,1,3
83783,2,3
86658,11,3
63440,7,3
95064,2,3
30217,4,2
77086,1,3
11378,1,3
23710,1,3
39354,1,3
63605,15,2
35909,1,3
61233,2,3
4919,2,3
40419,4,3
24844,3,3
44802,1,3
79773,2,3
18840,17,2
20070,7,3
91155,5,3
96591,3,3
64363,2,3
27931,12,2
97759,4,3
24551,1,3
85131,3,3
52012,1,3
3484,3,3
49875,1012,1
98087,295,2
67880,72,3
56033,3,3
54887,66,3
42797,9,3
59172,21,3
73534,52,3
56675,2,3
94744,70,3
6904,2,2
31088,1,3
83123,1,3
45288,224,2
67817,49,3
46447,25,3
27062,15,3
5439,53,3
21665,1,3
84446,61,3
45633,20,3
90600,37,2
92758,1,3
1680,12,3
64009,7,3
39414,1,3
3233,8,3
45334,8,3
48821,92,2
10043,20,3
94525,18,3
94148,28,3
52707,2,3
91064,22,3
92142,1,3
89997,1,3
67231,192,2
25334,11,3
10391,51,3
90540,65,3
85645,51,3
51110,14,3
55079,1,2
17024,1,3
89112,169,2
13662,48,3
12304,1,3
57493,41,3
53465,8,3
20714,9,3
19837,36,3
84254,2,3
22730,24,3
94232,39,1
63431,6,2
12451,1,3
66585,1,3
50294,2,3
68730,2,3
61349,6,2
7703,1,3
37301,1,3
75641,1,3
96302,1,3
95407,1,3
82617,1,3
95625,2,2
44817,1,3
89006,1,3
93679,6,2
91015,1,3
95437,1,3
64626,1,3
56294,1,3
64023,2,3
90208,4,2
65682,2,3
85723,1,3
65625,1,3
59299,5,2
29563,1,3
52510,1,3
96615,1,3
83321,2,3
19866,10,2
23910,1,3
16258,2,3
13280,1,3
56429,1,3
56221,3,3
20710,2,3
85717,1264,1
29950,112,2
23203,13,3
71168,13,3
59394,4,3
87763,12,3
37784,12,3
95412,29,3
53093,29,3
14459,177,2
38081,5,3
37211,15,3
31360,12,3
8069,41,3
80439,12,3
57426,39,3
62903,20,3
29821,33,3
49136,296,2
38645,62,3
63382,18,3
64761,75,3
93613,69,3
62808,2,3
70802,70,3
22799,24,2
72321,2,3
96963,6,3
25553,4,3
31754,3,3
36659,6,3
76346,3,3
7438,172,2
92945,12,3
51206,25,3
14048,44,3
45785,8,3
95824,25,3
75868,58,3
59753,190,2
60687,9,3
15727,28,3
70664,20,3
29520,39,3
40962,12,3
53102,43,3
95912,21,3
63119,18,3
21705,293,2
81608,38,3
50899,35,3
54789,16,3
59499,56,3
46856,71,3
54945,77,3
46331,658,1
83428,204,2
40067,49,3
59032,2,3
59311,40,3
64775,14,3
46266,4,3
81522,45,3
33934,50,3
38721,1,2
13656,1,3
74783,164,2
87426,41,3
21338,8,3
59726,30,3
91864,17,3
72086,4,3
55696,45,3
67918,19,3
75478,7,2
78947,1,3
27974,3,3
33851,3,3
20331,61,2
6004,3,3
8948,23,3
56662,20,3
66079,13,3
56450,2,3
5155,137,2
19511,12,3
21422,34,3
18909,1,3
70077,32,3
30009,13,3
24741,16,3
90359,29,3
91801,10,2
51007,3,3
28686,2,3
38675,1,3
33963,1,3
86546,2,3
88689,1,3
13686,74,2
2225,20,3
92777,1,3
75336,19,3
75779,1,3
40801,4,3
5896,24,3
91367,2,3
34419,3,3
0,4096,0
