Id,Degree,Depth
41293,198,1
96904,53,2
77198,2,3
81585,5,3
70839,3,3
49437,11,3
86731,11,3
71334,1,3
55054,20,3
18364,77,2
33093,8,3
25980,11,3
42233,13,3
47462,13,3
13933,5,3
59489,10,3
90903,17,3
94664,28,2
71373,6,3
31205,3,3
2413,8,3
26636,5,3
16651,6,3
36085,40,2
51209,6,3
93784,4,3
89804,7,3
3395,3,3
15152,2,3
68604,9,3
83421,9,3
61787,536,1
64066,64,2
82979,2,3
92664,13,3
96383,7,3
8252,12,3
91590,8,3
19407,11,3
67861,11,3
24615,81,2
914,6,3
74734,3,3
38966,21,3
39017,13,3
9756,13,3
9449,13,3
84531,6,3
21376,6,3
24131,100,2
66987,6,3
38286,1,3
20174,16,3
34344,9,3
88999,25,3
33573,32,3
58354,11,3
85771,50,2
55301,5,3
91815,1,3
38048,8,3
81861,13,3
61845,8,3
80113,11,3
24756,4,3
36295,109,2
73866,2,3
44221,26,3
27836,10,3
20335,15,3
10701,5,3
82597,28,3
13659,14,3
85075,9,3
41368,132,2
69736,19,3
23728,19,3
82908,13,3
4864,15,3
9622,10,3
14088,29,3
93116,27,3
89742,426,1
55027,1,2
2752,1,3
37837,53,2
69467,22,3
63615,13,3
39149,2,3
36032,6,3
37014,10,3
99270,5,2
25589,1,3
81481,1,3
24458,3,3
32953,74,2
40802,9,3
42543,9,3
15263,4,3
8359,5,3
70418,24,3
35666,21,3
25201,2,3
24663,73,2
18983,7,3
68426,10,3
64083,2,3
23467,7,3
85403,12,3
79584,21,3
26501,5,3
93320,9,3
43413,67,2
62415,7,3
61974,13,3
84320,10,3
37187,11,3
60729,3,3
22680,14,3
28725,9,3
57363,15,2
46590,3,3
22250,3,3
63743,4,3
49223,1,3
22504,1,3
32859,3,3
92369,138,2
1223,17,3
81544,16,3
50356,28,3
63112,7,3
17782,17,3
41468,17,3
72121,28,3
43831,8,3
80448,862,1
34737,151,2
51860,15,3
80278,5,3
78459,39,3
4630,2,3
99744,30,3
16393,14,3
62066,45,3
69170,1,3
73589,191,2
69281,49,3
6318,3,3
18035,27,3
55753,1,3
3023,42,3
98637,17,3
40591,36,3
70188,16,3
50694,35,2
24691,6,3
45683,4,3
5232,5,3
86376,3,3
32983,11,3
54938,1,3
61816,2,3
80404,3,3
62509,19,2
25157,4,3
49293,4,3
67010,5,3
53550,1,3
48234,5,3
99702,105,2
6010,31,3
30965,19,3
28723,5,3
75536,14,3
85956,11,3
13679,19,3
22950,2,3
85979,4,3
81054,211,2
57830,27,3
13000,33,3
42800,29,3
32739,41,3
60407,31,3
59895,3,3
96488,34,3
22715,13,3
21355,64,2
39021,5,3
57049,9,3
57165,19,3
67850,5,3
80195,17,3
86405,9,3
22145,86,2
4045,10,3
70647,27,3
78022,8,3
96894,15,3
79924,14,3
56861,11,3
48436,1,3
72023,49,1
2262,8,2
84440,3,3
53197,2,3
24016,3,3
87126,6,2
20711,2,3
16739,2,3
60323,1,3
662,1,3
82987,13,2
3195,3,3
62666,3,3
35750,3,3
78010,1,3
22458,3,3
21605,13,2
49807,5,3
24202,4,3
79209,4,3
20154,9,2
38497,1,3
87355,2,3
72144,1,3
83158,1,3
21502,1,3
97394,3,3
96641,644,1
27423,169,2
32396,36,3
77771,8,3
25913,33,3
92428,22,3
68463,11,3
36123,9,3
17171,19,3
68206,31,3
97654,47,2
75085,16,3
67602,3,3
2441,11,3
6267,17,3
44866,127,2
87960,20,3
71750,18,3
68404,12,3
96673,12,3
56835,32,3
55400,7,3
96887,11,3
84873,15,3
38057,174,2
92325,37,3
1655,22,3
54413,24,3
95400,16,3
13395,16,3
59367,9,3
50576,15,3
63401,35,3
71982,22,2
23067,1,3
84541,3,3
99536,7,3
94287,2,3
99341,8,3
31222,1,3
457,3,2
86217,2,3
22576,1,3
36608,77,2
23783,14,3
84528,10,3
93907,14,3
3404,7,3
20459,17,3
59685,14,3
36042,1,3
91617,25,2
4085,7,3
70716,10,3
35275,4,3
22920,2,3
21836,1,3
74024,1,3
80911,401,1
18984,41,2
55410,9,3
15690,7,3
51966,4,3
74988,9,3
40717,3,3
76356,9,3
76613,83,2
8091,12,3
71471,6,3
62654,9,3
43719,13,3
73285,7,3
79289,11,3
84041,11,3
67576,14,3
39614,10,2
542,1,3
5377,1,3
55233,3,3
93541,2,3
15281,3,3
99955,82,2
49772,9,3
35741,8,3
49098,2,3
87329,7,3
36387,16,3
93574,11,3
91239,12,3
93287,17,3
31567,17,2
99151,1,3
16812,1,3
88814,1,3
56732,9,3
24842,3,3
56744,2,3
90247,35,2
38926,16,3
78515,5,3
59019,3,3
60607,10,3
91886,1,3
45744,71,2
34426,3,3
99560,21,3
73123,2,3
51262,9,3
42366,16,3
18901,16,3
52893,4,3
97840,62,2
18070,15,3
93767,2,3
32324,7,3
49069,14,3
8856,3,3
51570,9,3
11765,5,3
7699,7,3
80292,980,1
616,167,2
34923,23,3
25287,21,3
20894,20,3
43863,20,3
7399,23,3
41758,12,3
17403,15,3
90926,33,3
86379,245,2
57063,24,3
8015,26,3
42750,5,3
18346,29,3
79131,33,3
27776,42,3
35575,34,3
5526,52,3
81519,177,2
70830,29,3
85546,25,3
52672,36,3
66803,33,3
88876,6,3
73857,9,3
95922,22,3
91406,17,3
81567,103,2
75787,6,3
24038,14,3
5147,7,3
81212,4,3
98651,27,3
48235,31,3
15902,8,3
56982,6,3
77554,101,2
52688,9,3
38176,26,3
85854,19,3
429,18,3
15,5,3
89532,9,3
37276,15,3
31143,58,2
41973,6,3
26054,6,3
12783,13,3
566,6,3
17225,6,3
75999,4,3
91314,13,3
97752,4,3
71099,93,2
31588,7,3
69217,34,3
87773,3,3
25936,11,3
50147,14,3
80797,20,3
88203,1,3
89813,3,3
13615,36,2
73892,8,3
9998,7,3
51161,5,3
49311,9,3
99568,3,3
42268,4,3
0,4096,0
