X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
977757.04000092,171605.09999847,91.01000214,12.000000,29.000000,1.000000,5.000000,2.000000,64531.769632,1105.000000
977752.22000122,171607.51000214,88.83999634,82.000000,17.000000,1.000000,3.000000,2.000000,71260.420023,508.000000
977782.66000366,171605.48999786,103.55000305,16.000000,-21.000000,1.000000,2.000000,1.000000,64081.719828,1295.000000
977767.69000244,171610.41999817,100.83000183,40.000000,-6.000000,1.000000,4.000000,3.000000,61443.078226,1192.000000
977761.40999985,171604.95999908,101.52999878,83.000000,-28.000000,1.000000,3.000000,2.000000,71136.369242,969.000000
977754.36999893,171605.66000366,103.43000031,56.000000,-7.000000,1.000000,3.000000,1.000000,59702.433695,954.000000
977785.69000244,171609.37000275,95.29000092,82.000000,18.000000,1.000000,2.000000,1.000000,71259.752054,1659.000000
977762.81000137,171604.86000061,76.93000031,80.000000,-10.000000,1.000000,3.000000,2.000000,71493.421976,45.000000
977785.12999725,171612.12999725,92.93000031,13.000000,-19.000000,1.000000,2.000000,2.000000,64455.471781,852.000000
977783.80999756,171602.37000275,96.08000183,41.000000,21.000000,1.000000,3.000000,1.000000,61359.549906,1359.000000
977756.18999863,171608.48999786,90.48000336,54.000000,-6.000000,1.000000,4.000000,3.000000,59974.443460,493.000000
977773.65000153,171579.63999939,98.73000336,14.000000,6.000000,1.000000,2.000000,1.000000,64317.727640,1327.000000
977765.48000336,171614.81999969,83.09999847,78.000000,-24.000000,1.000000,3.000000,2.000000,71725.417093,275.000000
977782.01999664,171616.33000183,81.77999878,16.000000,-21.000000,1.000000,4.000000,3.000000,64081.847757,1165.000000
977776.62999725,171604.94000244,102.73999786,54.000000,-7.000000,1.000000,3.000000,1.000000,59974.443460,1566.000000
977753.54000092,171590.50000000,96.68000031,82.000000,16.000000,1.000000,2.000000,1.000000,71260.083109,1004.000000
977762.54000092,171600.66999817,76.44999695,12.000000,29.000000,1.000000,3.000000,2.000000,64531.747171,908.000000
977761.77999878,171601.05000305,76.75000000,12.000000,29.000000,1.000000,3.000000,2.000000,64531.747171,831.000000
977768.08999634,171585.37000275,80.80999756,16.000000,-21.000000,1.000000,4.000000,3.000000,64081.404886,1059.000000
977769.47000122,171585.04000092,96.29000092,54.000000,-7.000000,1.000000,1.000000,1.000000,59974.698343,1712.000000
977778.23999786,171609.11000061,81.44000244,56.000000,-5.000000,1.000000,5.000000,4.000000,59702.456156,1338.000000
977772.26000214,171598.05000305,102.84999847,83.000000,-28.000000,1.000000,3.000000,1.000000,71136.556742,1582.000000
