Source,Target,Type
0,28680,Directed
28680,81655,Directed
81655,21728,Directed
81655,91931,Directed
81655,91059,Directed
81655,23520,Directed
81655,60280,Directed
81655,95166,Directed
81655,23025,Directed
28680,48477,Directed
48477,61649,Directed
48477,75212,Directed
48477,18495,Directed
48477,23634,Directed
48477,6556,Directed
48477,18986,Directed
48477,83434,Directed
48477,75968,Directed
28680,56484,Directed
56484,89902,Directed
56484,60339,Directed
56484,50661,Directed
56484,78309,Directed
56484,94029,Directed
28680,91442,Directed
91442,39169,Directed
91442,78906,Directed
91442,82959,Directed
91442,21811,Directed
91442,37002,Directed
91442,31255,Directed
91442,25531,Directed
91442,60491,Directed
0,90671,Directed
90671,92141,Directed
92141,51569,Directed
92141,7482,Directed
92141,89638,Directed
92141,66610,Directed
92141,52396,Directed
92141,4658,Directed
92141,24244,Directed
90671,51959,Directed
51959,2958,Directed
51959,73909,Directed
51959,10340,Directed
51959,52936,Directed
51959,42592,Directed
51959,38876,Directed
51959,58635,Directed
51959,20130,Directed
90671,87945,Directed
87945,21175,Directed
87945,94182,Directed
87945,41241,Directed
87945,74688,Directed
87945,55186,Directed
87945,805,Directed
87945,39046,Directed
90671,68006,Directed
68006,38834,Directed
68006,15743,Directed
68006,65600,Directed
68006,65748,Directed
68006,10630,Directed
68006,67346,Directed
68006,80428,Directed
90671,60951,Directed
60951,87366,Directed
60951,8338,Directed
60951,7621,Directed
60951,66847,Directed
60951,98770,Directed
60951,42994,Directed
60951,41852,Directed
60951,12135,Directed
90671,5945,Directed
5945,26647,Directed
5945,52779,Directed
5945,7663,Directed
5945,74580,Directed
5945,3369,Directed
5945,87077,Directed
5945,23562,Directed
5945,76119,Directed
0,38869,Directed
38869,39850,Directed
39850,54849,Directed
39850,42718,Directed
39850,83791,Directed
38869,30946,Directed
30946,80849,Directed
30946,57629,Directed
30946,878,Directed
30946,59866,Directed
30946,29078,Directed
30946,31076,Directed
38869,79707,Directed
79707,21530,Directed
79707,35299,Directed
79707,79007,Directed
79707,29014,Directed
79707,22353,Directed
38869,53551,Directed
53551,75680,Directed
53551,27853,Directed
53551,20361,Directed
53551,84961,Directed
53551,8753,Directed
53551,98194,Directed
53551,52208,Directed
38869,15762,Directed
15762,17948,Directed
15762,97625,Directed
15762,65692,Directed
15762,50544,Directed
15762,24579,Directed
15762,43761,Directed
15762,20471,Directed
15762,85047,Directed
38869,68023,Directed
68023,70048,Directed
68023,32496,Directed
68023,26833,Directed
68023,53641,Directed
68023,20562,Directed
68023,80164,Directed
68023,2159,Directed
38869,14179,Directed
14179,43461,Directed
14179,93749,Directed
14179,85606,Directed
14179,50739,Directed
38869,26353,Directed
26353,95622,Directed
26353,6370,Directed
26353,15760,Directed
26353,45058,Directed
26353,76290,Directed
26353,22512,Directed
26353,66716,Directed
26353,93533,Directed
0,61296,Directed
61296,57482,Directed
57482,57037,Directed
57482,61252,Directed
57482,85264,Directed
57482,53685,Directed
57482,48609,Directed
57482,30643,Directed
57482,36048,Directed
57482,73520,Directed
61296,77156,Directed
77156,87417,Directed
77156,86420,Directed
77156,31349,Directed
77156,56165,Directed
77156,85596,Directed
77156,52057,Directed
77156,75546,Directed
77156,80729,Directed
61296,85572,Directed
85572,41412,Directed
85572,80453,Directed
85572,7826,Directed
85572,79375,Directed
85572,43836,Directed
85572,28383,Directed
85572,71420,Directed
85572,42797,Directed
61296,59629,Directed
59629,91717,Directed
59629,13307,Directed
59629,86669,Directed
59629,26108,Directed
59629,71055,Directed
61296,16948,Directed
16948,86187,Directed
16948,16216,Directed
16948,26049,Directed
16948,28897,Directed
16948,25804,Directed
16948,71581,Directed
16948,25602,Directed
16948,19127,Directed
61296,38257,Directed
38257,68078,Directed
38257,31856,Directed
38257,95894,Directed
38257,36538,Directed
38257,49733,Directed
38257,32844,Directed
38257,55553,Directed
38257,26535,Directed
61296,86643,Directed
86643,86768,Directed
86643,17052,Directed
86643,62669,Directed
86643,35561,Directed
86643,756,Directed
86643,77548,Directed
61296,82951,Directed
82951,61292,Directed
82951,12016,Directed
82951,54915,Directed
82951,32125,Directed
82951,76472,Directed
82951,38856,Directed
82951,86444,Directed
0,40683,Directed
40683,47288,Directed
47288,31984,Directed
47288,73773,Directed
47288,56766,Directed
47288,27964,Directed
40683,47496,Directed
47496,35046,Directed
47496,81922,Directed
47496,95517,Directed
47496,84603,Directed
47496,75807,Directed
47496,6459,Directed
40683,64790,Directed
64790,49848,Directed
64790,33430,Directed
64790,39373,Directed
64790,56239,Directed
64790,20596,Directed
64790,73816,Directed
40683,23010,Directed
23010,73052,Directed
23010,7264,Directed
23010,47720,Directed
23010,15944,Directed
40683,96190,Directed
96190,6859,Directed
96190,49450,Directed
96190,10705,Directed
96190,46298,Directed
96190,78505,Directed
0,38648,Directed
38648,37163,Directed
37163,92400,Directed
37163,37908,Directed
37163,94546,Directed
37163,6385,Directed
37163,14174,Directed
37163,52770,Directed
37163,82812,Directed
37163,2491,Directed
38648,73310,Directed
73310,52722,Directed
73310,10475,Directed
73310,27157,Directed
73310,28880,Directed
73310,62336,Directed
73310,67717,Directed
38648,98867,Directed
98867,73086,Directed
98867,11625,Directed
98867,13483,Directed
98867,93669,Directed
98867,56589,Directed
98867,52294,Directed
98867,32864,Directed
98867,84910,Directed
38648,53515,Directed
53515,18914,Directed
53515,5020,Directed
53515,39155,Directed
53515,61628,Directed
53515,68559,Directed
53515,60330,Directed
53515,75007,Directed
53515,51834,Directed
38648,88313,Directed
88313,60650,Directed
88313,61651,Directed
88313,27308,Directed
88313,9677,Directed
88313,99883,Directed
88313,2024,Directed
88313,73076,Directed
88313,66518,Directed
38648,4562,Directed
4562,59883,Directed
4562,7924,Directed
4562,44787,Directed
4562,24252,Directed
4562,73424,Directed
4562,32393,Directed
38648,29541,Directed
29541,49382,Directed
29541,32112,Directed
29541,1164,Directed
29541,40727,Directed
29541,85325,Directed
29541,48245,Directed
29541,33191,Directed
29541,19635,Directed
38648,60328,Directed
60328,12564,Directed
60328,83500,Directed
60328,59940,Directed
60328,9444,Directed
60328,70500,Directed
60328,62592,Directed
0,77939,Directed
77939,21782,Directed
21782,49378,Directed
21782,69139,Directed
21782,54080,Directed
21782,96154,Directed
21782,61193,Directed
21782,36421,Directed
77939,83259,Directed
83259,2047,Directed
83259,45710,Directed
83259,98688,Directed
83259,51820,Directed
83259,82332,Directed
83259,21739,Directed
83259,42424,Directed
83259,39159,Directed
77939,70784,Directed
70784,60754,Directed
70784,4811,Directed
70784,91962,Directed
70784,80745,Directed
70784,15091,Directed
70784,99560,Directed
77939,94745,Directed
94745,51963,Directed
94745,23286,Directed
94745,410,Directed
94745,22483,Directed
94745,30596,Directed
94745,56246,Directed
94745,51509,Directed
94745,8782,Directed
77939,31049,Directed
31049,45682,Directed
31049,91187,Directed
31049,70369,Directed
31049,84880,Directed
31049,92720,Directed
31049,23638,Directed
31049,6955,Directed
77939,46434,Directed
46434,24655,Directed
46434,70026,Directed
46434,2883,Directed
46434,24116,Directed
46434,69621,Directed
77939,25353,Directed
25353,23957,Directed
25353,75730,Directed
25353,1309,Directed
25353,31170,Directed
25353,9117,Directed
25353,16797,Directed
25353,30012,Directed
25353,92691,Directed
77939,7380,Directed
7380,54809,Directed
7380,63761,Directed
7380,15453,Directed
7380,76087,Directed
7380,52542,Directed
7380,38221,Directed
7380,46009,Directed
7380,33079,Directed
0,25441,Directed
25441,33840,Directed
33840,26183,Directed
33840,64552,Directed
33840,61209,Directed
33840,41084,Directed
33840,79215,Directed
33840,91492,Directed
33840,53471,Directed
33840,36013,Directed
25441,32731,Directed
32731,96340,Directed
32731,93075,Directed
32731,15043,Directed
32731,34775,Directed
32731,28811,Directed
32731,4781,Directed
32731,65149,Directed
32731,24797,Directed
25441,22035,Directed
22035,22598,Directed
22035,80266,Directed
22035,55567,Directed
22035,21395,Directed
22035,60385,Directed
22035,43961,Directed
22035,73603,Directed
22035,41413,Directed
25441,47651,Directed
47651,10481,Directed
47651,52774,Directed
47651,59745,Directed
47651,63315,Directed
47651,91003,Directed
47651,86496,Directed
47651,65444,Directed
47651,94833,Directed
25441,71417,Directed
71417,58085,Directed
71417,20686,Directed
71417,41462,Directed
71417,19222,Directed
71417,98386,Directed
71417,70834,Directed
71417,89582,Directed
71417,96057,Directed
