X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
977760.00999832,171602.73999786,76.62999725,81.000000,-1.000000,1.000000,5.000000,4.000000,71403.869242,222.000000
977763.50000000,171603.26000214,76.55000305,53.000000,20.000000,1.000000,6.000000,5.000000,60070.052835,1023.000000
977763.50000000,171596.66000366,68.22000122,53.000000,20.000000,1.000000,3.000000,3.000000,60069.977640,1232.000000
977762.43999863,171602.34999847,76.27999878,41.000000,20.000000,1.000000,2.000000,1.000000,61359.842874,1658.000000
977761.77999878,171600.76999664,76.94000244,40.000000,-5.000000,1.000000,2.000000,1.000000,61443.003031,1392.000000
977762.81000137,171604.86000061,76.93000031,80.000000,-10.000000,1.000000,3.000000,2.000000,71493.421976,45.000000
977760.02000046,171601.05000305,76.25000000,81.000000,-1.000000,1.000000,2.000000,1.000000,71403.877054,564.000000
977763.65000153,171595.12999725,69.72000122,82.000000,16.000000,1.000000,2.000000,2.000000,71259.910257,1258.000000
977763.34000015,171595.30999756,65.77999878,83.000000,-27.000000,1.000000,1.000000,1.000000,71136.459085,1599.000000
977763.36000061,171595.30999756,67.06999969,83.000000,-27.000000,1.000000,1.000000,1.000000,71136.459085,1575.000000
977763.38999939,171595.33000183,68.41999817,83.000000,-27.000000,1.000000,1.000000,1.000000,71136.459085,1616.000000
977763.49000168,171595.47000122,70.77999878,83.000000,-27.000000,1.000000,1.000000,1.000000,71136.459085,1622.000000
977762.97000122,171596.61000061,66.30000305,53.000000,20.000000,1.000000,3.000000,3.000000,60069.977640,1186.000000
977763.74000168,171600.76999664,77.55000305,57.000000,20.000000,1.000000,2.000000,1.000000,59591.433695,974.000000
977761.13999939,171601.55999756,76.43000031,82.000000,16.000000,1.000000,2.000000,2.000000,71260.052835,347.000000
977763.49000168,171596.15000153,71.76000214,80.000000,-10.000000,1.000000,4.000000,3.000000,71493.354593,1589.000000
977763.16999817,171602.19999695,77.54000092,54.000000,-6.000000,1.000000,5.000000,4.000000,59974.504007,249.000000
977763.43000031,171596.30999756,69.98999786,41.000000,20.000000,1.000000,3.000000,2.000000,61359.812601,589.000000
977763.65000153,171604.23000336,77.56999969,80.000000,-10.000000,1.000000,4.000000,3.000000,71493.407328,669.000000
977763.63999939,171597.25000000,72.11000061,83.000000,-27.000000,1.000000,2.000000,1.000000,71136.451273,786.000000
977762.72000122,171589.54000092,81.45999908,83.000000,-27.000000,1.000000,1.000000,1.000000,71136.489359,1718.000000
977761.95000076,171587.77999878,86.45999908,83.000000,-27.000000,1.000000,4.000000,2.000000,71136.489359,1408.000000
977763.31999969,171590.86000061,80.05999756,83.000000,-27.000000,1.000000,4.000000,3.000000,71136.489359,1165.000000
977762.97000122,171590.01999664,83.09999847,83.000000,-27.000000,1.000000,3.000000,2.000000,71136.489359,1652.000000
977763.20000076,171586.06999969,85.98000336,15.000000,9.000000,1.000000,2.000000,2.000000,64221.882913,159.000000
977763.29999924,171584.81999969,82.38999939,12.000000,29.000000,1.000000,1.000000,1.000000,64531.589945,613.000000
977763.68999863,171588.73000336,81.50000000,13.000000,-18.000000,1.000000,3.000000,2.000000,64455.809183,124.000000
977763.52999878,171585.86000061,81.36000061,15.000000,9.000000,1.000000,4.000000,3.000000,64221.882913,1224.000000
977763.34999847,171591.04000092,82.77999878,40.000000,-5.000000,1.000000,4.000000,2.000000,61443.003031,87.000000
977763.04999924,171591.87999725,79.47000122,40.000000,-5.000000,1.000000,2.000000,2.000000,61443.003031,1227.000000
977761.93000031,171592.26000214,78.95999908,15.000000,10.000000,1.000000,3.000000,2.000000,64221.845804,191.000000
977763.09000015,171584.18000031,88.87999725,80.000000,-11.000000,1.000000,2.000000,2.000000,71493.279398,831.000000
977763.58000183,171583.66000366,81.91000366,82.000000,16.000000,1.000000,1.000000,1.000000,71259.797953,1334.000000
977763.11000061,171587.37999725,81.65000153,13.000000,-18.000000,1.000000,3.000000,2.000000,64455.824320,949.000000
977763.24000168,171587.19000244,86.29000092,13.000000,-18.000000,1.000000,5.000000,3.000000,64455.824320,1027.000000
977760.68000031,171587.88999939,86.69000244,16.000000,-21.000000,1.000000,3.000000,2.000000,64081.389749,1490.000000
977762.52000046,171588.41999817,81.77999878,14.000000,5.000000,1.000000,2.000000,2.000000,64317.772562,45.000000
977763.68999863,171584.02999878,87.48999786,39.000000,-7.000000,1.000000,4.000000,2.000000,61558.037210,426.000000
977763.59000015,171587.73999786,83.55000305,15.000000,9.000000,1.000000,3.000000,3.000000,64221.868265,1625.000000
977763.49000168,171589.50000000,80.33999634,16.000000,-21.000000,1.000000,3.000000,3.000000,64081.427347,735.000000
977762.22999954,171590.56999969,80.26000214,55.000000,66.000000,1.000000,3.000000,2.000000,59841.950296,0.000000
977750.38000107,171598.09999847,84.97000122,82.000000,16.000000,1.000000,4.000000,2.000000,71260.270609,1327.000000
977750.09999847,171601.29000092,84.31999969,12.000000,28.000000,1.000000,3.000000,1.000000,64531.687601,1318.000000
977750.04999924,171599.94000244,84.93000031,13.000000,-17.000000,1.000000,2.000000,1.000000,64455.824320,1467.000000
977750.40999985,171599.41999817,82.09999847,54.000000,-5.000000,1.000000,2.000000,2.000000,59974.563578,949.000000
977750.54999924,171602.55000305,85.04000092,82.000000,16.000000,1.000000,2.000000,1.000000,71260.352640,367.000000
977762.81999969,171603.73000336,78.51000214,81.000000,-1.000000,1.000000,5.000000,4.000000,71403.899515,1036.000000
977760.63999939,171597.87999725,83.40000153,41.000000,20.000000,1.000000,3.000000,2.000000,61359.849710,1357.000000
977753.59000015,171602.12000275,88.80000305,82.000000,16.000000,1.000000,4.000000,3.000000,71260.277445,708.000000
977753.59000015,171597.76000214,81.18000031,38.000000,20.000000,1.000000,4.000000,3.000000,61645.191507,762.000000
977757.09999847,171596.66000366,84.19000244,40.000000,-5.000000,1.000000,3.000000,2.000000,61442.920023,954.000000
977762.99000168,171600.65000153,85.94000244,13.000000,-18.000000,1.000000,2.000000,1.000000,64455.719339,1129.000000
977761.40000153,171605.37999725,79.75000000,80.000000,-10.000000,1.000000,5.000000,4.000000,71493.437601,762.000000
977751.65999985,171599.69999695,80.97000122,83.000000,-27.000000,1.000000,2.000000,1.000000,71136.271585,1473.000000
977755.27000046,171599.05999756,84.66000366,40.000000,-5.000000,1.000000,2.000000,2.000000,61442.897562,1338.000000
977752.27000046,171598.51000214,85.33000183,54.000000,-6.000000,1.000000,3.000000,2.000000,59974.571390,1478.000000
977753.00000000,171603.23999786,81.33999634,12.000000,28.000000,1.000000,1.000000,1.000000,64531.724710,902.000000
977763.40000153,171602.13999939,85.88999939,14.000000,5.000000,1.000000,4.000000,3.000000,64317.929788,159.000000
977752.27000046,171601.16000366,82.44999695,82.000000,16.000000,1.000000,4.000000,3.000000,71260.285257,1440.000000
