Source,Target,Type
2891.0,327.0,Directed
327.0,671.0,Directed
671.0,150.0,Directed
150.0,446.0,Directed
446.0,145.0,Directed
145.0,96.0,Directed
145.0,426.0,Directed
446.0,999.0,Directed
999.0,291.0,Directed
999.0,988.0,Directed
150.0,384.0,Directed
384.0,66.0,Directed
66.0,158.0,Directed
66.0,649.0,Directed
384.0,352.0,Directed
352.0,52.0,Directed
352.0,479.0,Directed
671.0,565.0,Directed
565.0,500.0,Directed
500.0,594.0,Directed
594.0,525.0,Directed
594.0,2079.0,Directed
500.0,518.0,Directed
518.0,1085.0,Directed
518.0,1128.0,Directed
565.0,2083.0,Directed
2083.0,821.0,Directed
821.0,806.0,Directed
821.0,894.0,Directed
2083.0,2143.0,Directed
2143.0,1360.0,Directed
2143.0,2124.0,Directed
327.0,2535.0,Directed
2535.0,2639.0,Directed
2639.0,2255.0,Directed
2255.0,2297.0,Directed
2297.0,2276.0,Directed
2297.0,2517.0,Directed
2255.0,2369.0,Directed
2369.0,2345.0,Directed
2369.0,2377.0,Directed
2639.0,2479.0,Directed
2479.0,2455.0,Directed
2455.0,2427.0,Directed
2455.0,2997.0,Directed
2479.0,2462.0,Directed
2462.0,2483.0,Directed
2462.0,3035.0,Directed
2535.0,3059.0,Directed
3059.0,2755.0,Directed
2755.0,2576.0,Directed
2576.0,1045.0,Directed
2576.0,1227.0,Directed
2755.0,2990.0,Directed
2990.0,3070.0,Directed
2990.0,2744.0,Directed
3059.0,2739.0,Directed
2739.0,2787.0,Directed
2787.0,2877.0,Directed
2787.0,2767.0,Directed
2739.0,2740.0,Directed
2740.0,3250.0,Directed
2740.0,2850.0,Directed
2891.0,1364.0,Directed
1364.0,1804.0,Directed
1804.0,1808.0,Directed
1808.0,1463.0,Directed
1463.0,274.0,Directed
274.0,266.0,Directed
274.0,725.0,Directed
1463.0,1451.0,Directed
1451.0,1627.0,Directed
1451.0,1747.0,Directed
1808.0,1613.0,Directed
1613.0,1562.0,Directed
1562.0,1553.0,Directed
1562.0,1597.0,Directed
1613.0,1643.0,Directed
1643.0,1690.0,Directed
1643.0,1973.0,Directed
1804.0,782.0,Directed
782.0,960.0,Directed
960.0,878.0,Directed
878.0,870.0,Directed
878.0,841.0,Directed
960.0,1335.0,Directed
1335.0,1336.0,Directed
1335.0,1406.0,Directed
782.0,1284.0,Directed
1284.0,1711.0,Directed
1711.0,1787.0,Directed
1711.0,1870.0,Directed
1284.0,1937.0,Directed
1937.0,1947.0,Directed
1937.0,2050.0,Directed
1364.0,1959.0,Directed
1959.0,3454.0,Directed
3454.0,3508.0,Directed
3508.0,2007.0,Directed
2007.0,1688.0,Directed
2007.0,2024.0,Directed
3508.0,3859.0,Directed
3859.0,3857.0,Directed
3859.0,3840.0,Directed
3454.0,3412.0,Directed
3412.0,3414.0,Directed
3414.0,3403.0,Directed
3414.0,3703.0,Directed
3412.0,3483.0,Directed
3483.0,3429.0,Directed
3483.0,3706.0,Directed
1959.0,3754.0,Directed
3754.0,2894.0,Directed
2894.0,2835.0,Directed
2835.0,2825.0,Directed
2835.0,4016.0,Directed
2894.0,2917.0,Directed
2917.0,3292.0,Directed
2917.0,4084.0,Directed
3754.0,3777.0,Directed
3777.0,2055.0,Directed
2055.0,3829.0,Directed
2055.0,2056.0,Directed
3777.0,3973.0,Directed
3973.0,3670.0,Directed
3973.0,3959.0,Directed
