Id,Degree,Depth
2891.0,2,0
327.0,2,1
671.0,2,2
150.0,2,3
446.0,2,4
145.0,2,5
96.0,0,6
426.0,0,6
999.0,2,5
291.0,0,6
988.0,0,6
384.0,2,4
66.0,2,5
158.0,0,6
649.0,0,6
352.0,2,5
52.0,0,6
479.0,0,6
565.0,2,3
500.0,2,4
594.0,2,5
525.0,0,6
2079.0,0,6
518.0,2,5
1085.0,0,6
1128.0,0,6
2083.0,2,4
821.0,2,5
806.0,0,6
894.0,0,6
2143.0,2,5
1360.0,0,6
2124.0,0,6
2535.0,2,2
2639.0,2,3
2255.0,2,4
2297.0,2,5
2276.0,0,6
2517.0,0,6
2369.0,2,5
2345.0,0,6
2377.0,0,6
2479.0,2,4
2455.0,2,5
2427.0,0,6
2997.0,0,6
2462.0,2,5
2483.0,0,6
3035.0,0,6
3059.0,2,3
2755.0,2,4
2576.0,2,5
1045.0,0,6
1227.0,0,6
2990.0,2,5
3070.0,0,6
2744.0,0,6
2739.0,2,4
2787.0,2,5
2877.0,0,6
2767.0,0,6
2740.0,2,5
3250.0,0,6
2850.0,0,6
1364.0,2,1
1804.0,2,2
1808.0,2,3
1463.0,2,4
274.0,2,5
266.0,0,6
725.0,0,6
1451.0,2,5
1627.0,0,6
1747.0,0,6
1613.0,2,4
1562.0,2,5
1553.0,0,6
1597.0,0,6
1643.0,2,5
1690.0,0,6
1973.0,0,6
782.0,2,3
960.0,2,4
878.0,2,5
870.0,0,6
841.0,0,6
1335.0,2,5
1336.0,0,6
1406.0,0,6
1284.0,2,4
1711.0,2,5
1787.0,0,6
1870.0,0,6
1937.0,2,5
1947.0,0,6
2050.0,0,6
1959.0,2,2
3454.0,2,3
3508.0,2,4
2007.0,2,5
1688.0,0,6
2024.0,0,6
3859.0,2,5
3857.0,0,6
3840.0,0,6
3412.0,2,4
3414.0,2,5
3403.0,0,6
3703.0,0,6
3483.0,2,5
3429.0,0,6
3706.0,0,6
3754.0,2,3
2894.0,2,4
2835.0,2,5
2825.0,0,6
4016.0,0,6
2917.0,2,5
3292.0,0,6
4084.0,0,6
3777.0,2,4
2055.0,2,5
3829.0,0,6
2056.0,0,6
3973.0,2,5
3670.0,0,6
3959.0,0,6
