Source,Target,Type
2142,26635,Directed
26635,90479,Directed
90479,38225,Directed
90479,92039,Directed
90479,62946,Directed
90479,51128,Directed
90479,40712,Directed
90479,45447,Directed
90479,28938,Directed
90479,10411,Directed
10411,47091,Directed
10411,34163,Directed
10411,89372,Directed
10411,9701,Directed
10411,54728,Directed
10411,38112,Directed
26635,86547,Directed
86547,95427,Directed
86547,81674,Directed
86547,64758,Directed
86547,51036,Directed
86547,76943,Directed
86547,71781,Directed
86547,45987,Directed
86547,3787,Directed
3787,81703,Directed
3787,24672,Directed
3787,28456,Directed
3787,46814,Directed
3787,60703,Directed
3787,45105,Directed
26635,57559,Directed
57559,91557,Directed
57559,45149,Directed
57559,59069,Directed
57559,22256,Directed
57559,59687,Directed
57559,69116,Directed
57559,43047,Directed
57559,50037,Directed
50037,55670,Directed
50037,37138,Directed
50037,52856,Directed
50037,53556,Directed
50037,82649,Directed
50037,68495,Directed
26635,29512,Directed
29512,59913,Directed
29512,85724,Directed
29512,25178,Directed
29512,115,Directed
29512,9427,Directed
29512,36591,Directed
29512,16284,Directed
29512,5562,Directed
5562,32795,Directed
5562,72287,Directed
5562,6494,Directed
5562,88463,Directed
5562,82352,Directed
5562,85035,Directed
26635,67725,Directed
67725,76238,Directed
67725,9435,Directed
67725,89415,Directed
67725,67561,Directed
67725,42043,Directed
67725,80147,Directed
67725,83658,Directed
67725,14670,Directed
14670,56569,Directed
14670,39466,Directed
14670,77075,Directed
14670,20138,Directed
14670,44363,Directed
14670,95513,Directed
26635,4947,Directed
4947,58490,Directed
4947,80921,Directed
4947,44514,Directed
4947,80561,Directed
4947,89437,Directed
4947,87204,Directed
4947,79025,Directed
4947,13743,Directed
13743,6355,Directed
13743,4063,Directed
13743,53335,Directed
13743,92392,Directed
13743,783,Directed
13743,78129,Directed
26635,1850,Directed
1850,63201,Directed
1850,1834,Directed
1850,16072,Directed
1850,11225,Directed
1850,57901,Directed
1850,66188,Directed
1850,35710,Directed
1850,10112,Directed
10112,70788,Directed
10112,30082,Directed
10112,95720,Directed
10112,16073,Directed
10112,13217,Directed
10112,50113,Directed
26635,15225,Directed
15225,82072,Directed
15225,11330,Directed
15225,20927,Directed
15225,10957,Directed
15225,442,Directed
15225,84878,Directed
15225,33430,Directed
15225,10346,Directed
10346,68261,Directed
10346,85178,Directed
10346,31174,Directed
10346,9694,Directed
10346,12696,Directed
10346,37168,Directed
2142,44239,Directed
44239,36051,Directed
36051,13687,Directed
36051,67701,Directed
36051,94598,Directed
36051,9575,Directed
36051,46389,Directed
36051,91279,Directed
36051,83535,Directed
36051,68250,Directed
68250,88809,Directed
68250,47038,Directed
68250,34384,Directed
68250,7861,Directed
68250,29966,Directed
68250,72022,Directed
44239,94204,Directed
94204,56032,Directed
94204,15096,Directed
94204,14671,Directed
94204,71231,Directed
94204,96853,Directed
94204,77031,Directed
94204,6966,Directed
94204,85165,Directed
85165,58804,Directed
85165,71560,Directed
85165,10630,Directed
85165,39093,Directed
85165,68031,Directed
85165,45759,Directed
44239,78530,Directed
78530,68249,Directed
78530,98901,Directed
78530,60719,Directed
78530,51406,Directed
78530,63697,Directed
78530,84502,Directed
78530,76287,Directed
78530,80825,Directed
80825,50901,Directed
80825,74855,Directed
80825,26514,Directed
80825,45141,Directed
80825,3159,Directed
80825,8110,Directed
44239,70760,Directed
70760,62328,Directed
70760,88341,Directed
70760,63418,Directed
70760,95428,Directed
70760,3364,Directed
70760,1298,Directed
70760,22352,Directed
70760,27662,Directed
27662,1260,Directed
27662,37661,Directed
27662,71786,Directed
27662,69794,Directed
27662,95266,Directed
27662,38264,Directed
44239,21246,Directed
21246,22058,Directed
21246,48660,Directed
21246,58235,Directed
21246,5246,Directed
21246,9277,Directed
21246,31773,Directed
21246,34883,Directed
21246,13064,Directed
13064,61048,Directed
13064,6358,Directed
13064,10505,Directed
13064,24627,Directed
13064,77561,Directed
13064,56844,Directed
44239,65881,Directed
65881,21344,Directed
65881,87559,Directed
65881,78120,Directed
65881,91420,Directed
65881,26330,Directed
65881,88944,Directed
65881,207,Directed
65881,28057,Directed
28057,37697,Directed
28057,70819,Directed
28057,77272,Directed
28057,23618,Directed
28057,5980,Directed
28057,30167,Directed
44239,10611,Directed
10611,61240,Directed
10611,48176,Directed
10611,98540,Directed
10611,72728,Directed
10611,73327,Directed
10611,14625,Directed
10611,13518,Directed
10611,3990,Directed
3990,30411,Directed
3990,39693,Directed
3990,75379,Directed
3990,25527,Directed
3990,33134,Directed
3990,95547,Directed
44239,70107,Directed
70107,77705,Directed
70107,79334,Directed
70107,81439,Directed
70107,98919,Directed
70107,91543,Directed
70107,63471,Directed
70107,52393,Directed
70107,4725,Directed
4725,27740,Directed
4725,37806,Directed
4725,61527,Directed
4725,95873,Directed
4725,49597,Directed
4725,94392,Directed
2142,4066,Directed
4066,46178,Directed
46178,44974,Directed
46178,79148,Directed
46178,29972,Directed
46178,50309,Directed
46178,43843,Directed
46178,73754,Directed
46178,80203,Directed
46178,61915,Directed
61915,67931,Directed
61915,26132,Directed
61915,54576,Directed
61915,26152,Directed
61915,82301,Directed
61915,26687,Directed
4066,72678,Directed
72678,12906,Directed
72678,35768,Directed
72678,38431,Directed
72678,69407,Directed
72678,58829,Directed
72678,17001,Directed
72678,95681,Directed
72678,36092,Directed
36092,58379,Directed
36092,85941,Directed
36092,5267,Directed
36092,32517,Directed
36092,64460,Directed
36092,22839,Directed
4066,27869,Directed
27869,65521,Directed
27869,14987,Directed
27869,75874,Directed
27869,69485,Directed
27869,91716,Directed
27869,49040,Directed
27869,85256,Directed
27869,83121,Directed
83121,32799,Directed
83121,26810,Directed
83121,16379,Directed
83121,37036,Directed
83121,68741,Directed
83121,66696,Directed
4066,8622,Directed
8622,83867,Directed
8622,33259,Directed
8622,3720,Directed
8622,68061,Directed
8622,57631,Directed
8622,82007,Directed
