Id,Label,Depth
2142,2142,0
26635,26635,1
90479,90479,2
38225,38225,3
92039,92039,3
62946,62946,3
51128,51128,3
40712,40712,3
45447,45447,3
28938,28938,3
10411,10411,3
47091,47091,4
34163,34163,4
89372,89372,4
9701,9701,4
54728,54728,4
38112,38112,4
86547,86547,2
95427,95427,3
81674,81674,3
64758,64758,3
51036,51036,3
76943,76943,3
71781,71781,3
45987,45987,3
3787,3787,3
81703,81703,4
24672,24672,4
28456,28456,4
46814,46814,4
60703,60703,4
45105,45105,4
57559,57559,2
91557,91557,3
45149,45149,3
59069,59069,3
22256,22256,3
59687,59687,3
69116,69116,3
43047,43047,3
50037,50037,3
55670,55670,4
37138,37138,4
52856,52856,4
53556,53556,4
82649,82649,4
68495,68495,4
29512,29512,2
59913,59913,3
85724,85724,3
25178,25178,3
115,115,3
9427,9427,3
36591,36591,3
16284,16284,3
5562,5562,3
32795,32795,4
72287,72287,4
6494,6494,4
88463,88463,4
82352,82352,4
85035,85035,4
67725,67725,2
76238,76238,3
9435,9435,3
89415,89415,3
67561,67561,3
42043,42043,3
80147,80147,3
83658,83658,3
14670,14670,3
56569,56569,4
39466,39466,4
77075,77075,4
20138,20138,4
44363,44363,4
95513,95513,4
4947,4947,2
58490,58490,3
80921,80921,3
44514,44514,3
80561,80561,3
89437,89437,3
87204,87204,3
79025,79025,3
13743,13743,3
6355,6355,4
4063,4063,4
53335,53335,4
92392,92392,4
783,783,4
78129,78129,4
1850,1850,2
63201,63201,3
1834,1834,3
16072,16072,3
11225,11225,3
57901,57901,3
66188,66188,3
35710,35710,3
10112,10112,3
70788,70788,4
30082,30082,4
95720,95720,4
16073,16073,4
13217,13217,4
50113,50113,4
15225,15225,2
82072,82072,3
11330,11330,3
20927,20927,3
10957,10957,3
442,442,3
84878,84878,3
33430,33430,3
10346,10346,3
68261,68261,4
85178,85178,4
31174,31174,4
9694,9694,4
12696,12696,4
37168,37168,4
44239,44239,1
36051,36051,2
13687,13687,3
67701,67701,3
94598,94598,3
9575,9575,3
46389,46389,3
91279,91279,3
83535,83535,3
68250,68250,3
88809,88809,4
47038,47038,4
34384,34384,4
7861,7861,4
29966,29966,4
72022,72022,4
94204,94204,2
56032,56032,3
15096,15096,3
14671,14671,3
71231,71231,3
96853,96853,3
77031,77031,3
6966,6966,3
85165,85165,3
58804,58804,4
71560,71560,4
10630,10630,4
39093,39093,4
68031,68031,4
45759,45759,4
78530,78530,2
68249,68249,3
98901,98901,3
60719,60719,3
51406,51406,3
63697,63697,3
84502,84502,3
76287,76287,3
80825,80825,3
50901,50901,4
74855,74855,4
26514,26514,4
45141,45141,4
3159,3159,4
8110,8110,4
70760,70760,2
62328,62328,3
88341,88341,3
63418,63418,3
95428,95428,3
3364,3364,3
1298,1298,3
22352,22352,3
27662,27662,3
1260,1260,4
37661,37661,4
71786,71786,4
69794,69794,4
95266,95266,4
38264,38264,4
21246,21246,2
22058,22058,3
48660,48660,3
58235,58235,3
5246,5246,3
9277,9277,3
31773,31773,3
34883,34883,3
13064,13064,3
61048,61048,4
6358,6358,4
10505,10505,4
24627,24627,4
77561,77561,4
56844,56844,4
65881,65881,2
21344,21344,3
87559,87559,3
78120,78120,3
91420,91420,3
26330,26330,3
88944,88944,3
207,207,3
28057,28057,3
37697,37697,4
70819,70819,4
77272,77272,4
23618,23618,4
5980,5980,4
30167,30167,4
10611,10611,2
61240,61240,3
48176,48176,3
98540,98540,3
72728,72728,3
73327,73327,3
14625,14625,3
13518,13518,3
3990,3990,3
30411,30411,4
39693,39693,4
75379,75379,4
25527,25527,4
33134,33134,4
95547,95547,4
70107,70107,2
77705,77705,3
79334,79334,3
81439,81439,3
98919,98919,3
91543,91543,3
63471,63471,3
52393,52393,3
4725,4725,3
27740,27740,4
37806,37806,4
61527,61527,4
95873,95873,4
49597,49597,4
94392,94392,4
4066,4066,1
46178,46178,2
44974,44974,3
79148,79148,3
29972,29972,3
50309,50309,3
43843,43843,3
73754,73754,3
80203,80203,3
61915,61915,3
67931,67931,4
26132,26132,4
54576,54576,4
26152,26152,4
82301,82301,4
26687,26687,4
72678,72678,2
12906,12906,3
35768,35768,3
38431,38431,3
69407,69407,3
58829,58829,3
17001,17001,3
95681,95681,3
36092,36092,3
58379,58379,4
85941,85941,4
5267,5267,4
32517,32517,4
64460,64460,4
22839,22839,4
27869,27869,2
65521,65521,3
14987,14987,3
75874,75874,3
69485,69485,3
91716,91716,3
49040,49040,3
85256,85256,3
83121,83121,3
32799,32799,4
26810,26810,4
16379,16379,4
37036,37036,4
68741,68741,4
66696,66696,4
8622,8622,2
83867,83867,3
33259,33259,3
3720,3720,3
68061,68061,3
57631,57631,3
82007,82007,3
75504,75504,3
30032,30032,3
83154,83154,4
73636,73636,4
8097,8097,4
61207,61207,4
20993,20993,4
76489,76489,4
18258,18258,2
50889,50889,3
28576,28576,3
49416,49416,3
82311,82311,3
42862,42862,3
24889,24889,3
28658,28658,3
80479,80479,3
68294,68294,4
29040,29040,4
73893,73893,4
10747,10747,4
93638,93638,4
99412,99412,4
92589,92589,2
9403,9403,3
44511,44511,3
28963,28963,3
15356,15356,3
70703,70703,3
79175,79175,3
59699,59699,3
58039,58039,3
