Id,Label,Depth
56255,56255,0
5717,5717,1
39306,39306,2
11505,11505,3
23746,23746,3
53403,53403,3
72489,72489,3
88211,88211,3
23781,23781,3
41777,41777,3
54564,54564,3
11518,11518,2
88778,88778,3
33126,33126,3
91913,91913,3
8428,8428,3
44225,44225,3
66580,66580,3
27444,27444,3
49139,49139,3
77152,77152,2
79727,79727,3
45691,45691,3
89495,89495,3
92293,92293,3
34043,34043,3
25922,25922,3
50421,50421,3
99608,99608,3
76618,76618,2
49272,49272,3
83494,83494,3
8722,8722,3
12650,12650,3
59718,59718,3
4446,4446,3
55577,55577,3
95270,95270,3
59059,59059,2
27637,27637,3
48663,48663,3
93214,93214,3
25597,25597,3
29444,29444,3
47454,47454,3
96186,96186,3
1964,1964,3
74,74,2
18498,18498,3
33634,33634,3
4674,4674,3
98905,98905,3
33540,33540,3
79167,79167,3
86638,86638,3
49321,49321,3
50211,50211,2
5746,5746,3
74442,74442,3
92737,92737,3
32957,32957,3
82528,82528,3
44645,44645,3
2745,2745,3
86025,86025,3
74444,74444,2
61434,61434,3
19015,19015,3
55584,55584,3
32903,32903,3
62360,62360,3
91131,91131,3
20296,20296,3
40059,40059,3
50407,50407,4
51075,51075,4
61153,61153,4
49194,49194,1
40547,40547,2
99461,99461,3
61148,61148,3
98228,98228,3
31841,31841,3
28720,28720,3
87699,87699,3
74131,74131,3
12734,12734,3
85083,85083,2
6139,6139,3
16011,16011,3
75819,75819,3
13787,13787,3
71338,71338,3
98540,98540,3
76008,76008,3
86132,86132,3
65524,65524,2
46768,46768,3
19339,19339,3
65756,65756,3
27810,27810,3
47776,47776,3
35622,35622,3
64485,64485,3
59706,59706,3
12678,12678,2
78086,78086,3
4416,4416,3
14756,14756,3
47144,47144,3
72174,72174,3
34600,34600,3
78463,78463,3
80491,80491,3
82631,82631,2
39985,39985,3
74411,74411,3
83748,83748,3
63308,63308,3
53641,53641,3
15175,15175,3
61078,61078,3
78200,78200,3
87722,87722,2
69421,69421,3
89158,89158,3
52683,52683,3
98594,98594,3
98473,98473,3
94068,94068,3
89710,89710,3
20985,20985,3
33663,33663,2
72339,72339,3
7643,7643,3
34440,34440,3
56895,56895,3
65227,65227,3
44322,44322,3
47511,47511,3
12501,12501,3
94329,94329,2
13889,13889,3
86981,86981,3
60993,60993,3
85389,85389,3
24534,24534,3
52103,52103,3
67058,67058,3
50752,50752,3
19021,19021,4
31552,31552,4
60916,60916,4
47008,47008,1
23699,23699,2
84378,84378,3
59781,59781,3
69387,69387,3
18720,18720,3
23992,23992,3
91570,91570,3
61820,61820,3
97116,97116,3
72851,72851,2
74354,74354,3
99745,99745,3
94733,94733,3
82773,82773,3
26809,26809,3
90119,90119,3
56839,56839,3
58277,58277,3
5112,5112,2
56387,56387,3
63524,63524,3
20511,20511,3
21199,21199,3
21175,21175,3
93992,93992,3
70451,70451,3
27302,27302,3
26535,26535,2
67597,67597,3
39246,39246,3
28708,28708,3
91347,91347,3
29424,29424,3
50572,50572,3
27216,27216,3
41706,41706,3
87543,87543,2
93345,93345,3
67979,67979,3
72676,72676,3
25694,25694,3
53098,53098,3
10857,10857,3
29325,29325,3
54289,54289,3
43866,43866,2
95157,95157,3
43518,43518,3
76670,76670,3
46742,46742,3
95300,95300,3
46607,46607,3
92739,92739,3
81070,81070,3
33088,33088,2
14504,14504,3
80140,80140,3
96831,96831,3
87171,87171,3
20100,20100,3
29426,29426,3
93471,93471,3
83194,83194,3
18540,18540,2
21787,21787,3
53388,53388,3
82388,82388,3
81205,81205,3
43474,43474,3
53372,53372,3
46822,46822,3
6926,6926,3
94743,94743,4
86651,86651,4
69375,69375,4
6675,6675,1
77513,77513,2
20886,20886,3
32866,32866,3
14519,14519,3
8898,8898,3
84047,84047,3
83215,83215,3
21651,21651,3
562,562,3
30892,30892,2
38013,38013,3
80898,80898,3
58139,58139,3
38643,38643,3
1167,1167,3
2026,2026,3
69098,69098,3
42067,42067,3
54546,54546,2
36124,36124,3
3090,3090,3
80314,80314,3
57791,57791,3
21152,21152,3
94811,94811,3
11643,11643,3
97586,97586,3
14720,14720,2
91120,91120,3
81677,81677,3
67265,67265,3
86821,86821,3
61896,61896,3
62450,62450,3
54011,54011,3
11360,11360,3
76909,76909,2
12704,12704,3
