Source,Target,Type
56255,5717,Directed
5717,39306,Directed
39306,11505,Directed
39306,23746,Directed
39306,53403,Directed
39306,72489,Directed
39306,88211,Directed
39306,23781,Directed
39306,41777,Directed
39306,54564,Directed
5717,11518,Directed
11518,88778,Directed
11518,33126,Directed
11518,91913,Directed
11518,8428,Directed
11518,44225,Directed
11518,66580,Directed
11518,27444,Directed
11518,49139,Directed
5717,77152,Directed
77152,79727,Directed
77152,45691,Directed
77152,89495,Directed
77152,92293,Directed
77152,34043,Directed
77152,25922,Directed
77152,50421,Directed
77152,99608,Directed
5717,76618,Directed
76618,49272,Directed
76618,83494,Directed
76618,8722,Directed
76618,12650,Directed
76618,59718,Directed
76618,4446,Directed
76618,55577,Directed
76618,95270,Directed
5717,59059,Directed
59059,27637,Directed
59059,48663,Directed
59059,93214,Directed
59059,25597,Directed
59059,29444,Directed
59059,47454,Directed
59059,96186,Directed
59059,1964,Directed
5717,74,Directed
74,18498,Directed
74,33634,Directed
74,4674,Directed
74,98905,Directed
74,33540,Directed
74,79167,Directed
74,86638,Directed
74,49321,Directed
5717,50211,Directed
50211,5746,Directed
50211,74442,Directed
50211,92737,Directed
50211,32957,Directed
50211,82528,Directed
50211,44645,Directed
50211,2745,Directed
50211,86025,Directed
5717,74444,Directed
74444,61434,Directed
74444,19015,Directed
74444,55584,Directed
74444,32903,Directed
74444,62360,Directed
74444,91131,Directed
74444,20296,Directed
74444,40059,Directed
40059,50407,Directed
40059,51075,Directed
40059,61153,Directed
56255,49194,Directed
49194,40547,Directed
40547,99461,Directed
40547,61148,Directed
40547,98228,Directed
40547,31841,Directed
40547,28720,Directed
40547,87699,Directed
40547,74131,Directed
40547,12734,Directed
49194,85083,Directed
85083,6139,Directed
85083,16011,Directed
85083,75819,Directed
85083,13787,Directed
85083,71338,Directed
85083,98540,Directed
85083,76008,Directed
85083,86132,Directed
49194,65524,Directed
65524,46768,Directed
65524,19339,Directed
65524,65756,Directed
65524,27810,Directed
65524,47776,Directed
65524,35622,Directed
65524,64485,Directed
65524,59706,Directed
49194,12678,Directed
12678,78086,Directed
12678,4416,Directed
12678,14756,Directed
12678,47144,Directed
12678,72174,Directed
12678,34600,Directed
12678,78463,Directed
12678,80491,Directed
49194,82631,Directed
82631,39985,Directed
82631,74411,Directed
82631,83748,Directed
82631,63308,Directed
82631,53641,Directed
82631,15175,Directed
82631,61078,Directed
82631,78200,Directed
49194,87722,Directed
87722,69421,Directed
87722,89158,Directed
87722,52683,Directed
87722,98594,Directed
87722,98473,Directed
87722,94068,Directed
87722,89710,Directed
87722,20985,Directed
49194,33663,Directed
33663,72339,Directed
33663,7643,Directed
33663,34440,Directed
33663,56895,Directed
33663,65227,Directed
33663,44322,Directed
33663,47511,Directed
33663,12501,Directed
49194,94329,Directed
94329,13889,Directed
94329,86981,Directed
94329,60993,Directed
94329,85389,Directed
94329,24534,Directed
94329,52103,Directed
94329,67058,Directed
94329,50752,Directed
50752,19021,Directed
50752,31552,Directed
50752,60916,Directed
56255,47008,Directed
47008,23699,Directed
23699,84378,Directed
23699,59781,Directed
23699,69387,Directed
23699,18720,Directed
23699,23992,Directed
23699,91570,Directed
23699,61820,Directed
23699,97116,Directed
47008,72851,Directed
72851,74354,Directed
72851,99745,Directed
72851,94733,Directed
72851,82773,Directed
72851,26809,Directed
72851,90119,Directed
72851,56839,Directed
72851,58277,Directed
47008,5112,Directed
5112,56387,Directed
5112,63524,Directed
5112,20511,Directed
5112,21199,Directed
5112,21175,Directed
5112,93992,Directed
5112,70451,Directed
5112,27302,Directed
47008,26535,Directed
26535,67597,Directed
26535,39246,Directed
26535,28708,Directed
26535,91347,Directed
26535,29424,Directed
26535,50572,Directed
26535,27216,Directed
26535,41706,Directed
47008,87543,Directed
87543,93345,Directed
87543,67979,Directed
87543,72676,Directed
87543,25694,Directed
87543,53098,Directed
87543,10857,Directed
87543,29325,Directed
87543,54289,Directed
47008,43866,Directed
43866,95157,Directed
43866,43518,Directed
43866,76670,Directed
43866,46742,Directed
43866,95300,Directed
43866,46607,Directed
43866,92739,Directed
43866,81070,Directed
47008,33088,Directed
33088,14504,Directed
33088,80140,Directed
33088,96831,Directed
33088,87171,Directed
33088,20100,Directed
33088,29426,Directed
33088,93471,Directed
33088,83194,Directed
47008,18540,Directed
18540,21787,Directed
18540,53388,Directed
18540,82388,Directed
18540,81205,Directed
18540,43474,Directed
18540,53372,Directed
18540,46822,Directed
18540,6926,Directed
6926,94743,Directed
6926,86651,Directed
6926,69375,Directed
56255,6675,Directed
6675,77513,Directed
77513,20886,Directed
77513,32866,Directed
77513,14519,Directed
77513,8898,Directed
77513,84047,Directed
77513,83215,Directed
77513,21651,Directed
77513,562,Directed
6675,30892,Directed
30892,38013,Directed
30892,80898,Directed
30892,58139,Directed
30892,38643,Directed
30892,1167,Directed
30892,2026,Directed
30892,69098,Directed
30892,42067,Directed
6675,54546,Directed
54546,36124,Directed
54546,3090,Directed
54546,80314,Directed
54546,57791,Directed
54546,21152,Directed
54546,94811,Directed
54546,11643,Directed
54546,97586,Directed
6675,14720,Directed
14720,91120,Directed
14720,81677,Directed
14720,67265,Directed
14720,86821,Directed
14720,61896,Directed
14720,62450,Directed
14720,54011,Directed
14720,11360,Directed
6675,76909,Directed
76909,12704,Directed
76909,30488,Directed
76909,79791,Directed
76909,79945,Directed
76909,31816,Directed
76909,58938,Directed
76909,20757,Directed
76909,49547,Directed
6675,80869,Directed
80869,89775,Directed
80869,46766,Directed
80869,76172,Directed
80869,54334,Directed
80869,5536,Directed
80869,57784,Directed
80869,46719,Directed
80869,7789,Directed
6675,17437,Directed
17437,87936,Directed
17437,99509,Directed
17437,53108,Directed
17437,8221,Directed
17437,66805,Directed
17437,77268,Directed
17437,78660,Directed
17437,82451,Directed
6675,61244,Directed
61244,5390,Directed
61244,17024,Directed
61244,94980,Directed
61244,24789,Directed
61244,36810,Directed
61244,10743,Directed
61244,70119,Directed
61244,76908,Directed
76908,41998,Directed
76908,77003,Directed
76908,48039,Directed
56255,45958,Directed
45958,59299,Directed
59299,14646,Directed
59299,7832,Directed
59299,86303,Directed
59299,47105,Directed
59299,92972,Directed
59299,74618,Directed
59299,71221,Directed
59299,4177,Directed
45958,51072,Directed
51072,57258,Directed
51072,37553,Directed
51072,80373,Directed
51072,10616,Directed
51072,77508,Directed
51072,13175,Directed
51072,85251,Directed
