X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
978012.18000031,171161.38999939,82.88999939,16.000000,1.000000,1.000000,2.000000,2.000000,64077.044095,859.000000
978016.15999985,171160.08000183,82.59999847,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.653470,1988.000000
978017.53000069,171159.69999695,82.81999969,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.668606,1916.000000
978019.04999924,171159.21000671,82.76999664,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.691067,1907.000000
978021.86000061,171158.33000183,82.59999847,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.728665,1950.000000
978024.10000038,171157.52000427,82.55000305,82.000000,3.000000,1.000000,2.000000,2.000000,71254.974759,1961.000000
978007.00000000,171167.97000122,83.04000092,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.518704,1998.000000
978006.32999992,171165.27999878,82.76000214,82.000000,3.000000,1.000000,2.000000,1.000000,71255.184720,275.000000
978002.72000003,171169.24000549,83.01000214,82.000000,3.000000,1.000000,2.000000,2.000000,71255.237454,1071.000000
978001.32000005,171169.61999512,82.62999725,82.000000,3.000000,1.000000,3.000000,2.000000,71255.252102,1159.000000
978008.67000008,171167.53999329,82.91000366,54.000000,-19.000000,1.000000,2.000000,2.000000,59979.081204,1271.000000
978010.51000023,171166.75999451,82.77999878,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.319485,1916.000000
978011.72999954,171171.75000000,82.38999939,43.000000,24.000000,1.000000,2.000000,2.000000,61166.188138,301.000000
978008.18999958,171163.69999695,82.83000183,43.000000,24.000000,1.000000,2.000000,1.000000,61166.203274,564.000000
978009.43000031,171172.00000000,83.00000000,43.000000,24.000000,1.000000,3.000000,3.000000,61166.210599,942.000000
978005.86999989,171166.61999512,83.01999664,43.000000,24.000000,1.000000,2.000000,1.000000,61166.233304,0.000000
978005.38000011,171168.41999817,82.73999786,43.000000,24.000000,1.000000,1.000000,1.000000,61166.240872,1952.000000
978012.35999966,171166.22999573,83.08000183,83.000000,-16.000000,1.000000,1.000000,1.000000,71141.341946,1979.000000
978013.43000031,171164.61000061,82.38999939,54.000000,-19.000000,1.000000,1.000000,1.000000,59979.103665,1898.000000
978012.90999985,171162.96000671,82.55999756,54.000000,-19.000000,1.000000,1.000000,1.000000,59979.133450,1961.000000
978012.01000023,171160.96000671,92.13999939,54.000000,-20.000000,1.000000,2.000000,1.000000,59979.155911,367.000000
978011.26000023,171161.36999512,84.51000214,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.357571,1313.000000
978012.40999985,171161.50000000,88.83999634,15.000000,-14.000000,1.000000,1.000000,1.000000,64223.655423,1941.000000
978012.31999969,171161.39999390,95.43000031,15.000000,-14.000000,1.000000,3.000000,1.000000,64223.655423,1870.000000
978012.32999992,171161.52999878,87.23999786,42.000000,-10.000000,1.000000,3.000000,1.000000,61264.593411,885.000000
978012.32999992,171161.42999268,90.47000122,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.593411,1090.000000
978012.34000015,171161.42999268,93.55999756,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.593411,1340.000000
978022.02000046,171157.27000427,85.83999634,54.000000,-20.000000,1.000000,2.000000,1.000000,59979.186184,1672.000000
978019.31999969,171159.24000549,88.37999725,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.455227,2088.000000
978023.07999992,171157.13999939,84.55999756,54.000000,-20.000000,1.000000,2.000000,1.000000,59979.186184,769.000000
978019.34000015,171159.25999451,90.26999664,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.455227,1970.000000
978019.34000015,171159.25000000,92.13999939,83.000000,-16.000000,1.000000,1.000000,1.000000,71141.455227,1988.000000
978019.35000038,171159.25000000,94.23000336,83.000000,-16.000000,1.000000,1.000000,1.000000,71141.455227,2039.000000
978013.27999973,171160.38999939,84.13999939,54.000000,-19.000000,1.000000,2.000000,1.000000,59979.163724,1067.000000
978013.32999992,171160.35000610,85.70999908,54.000000,-20.000000,1.000000,1.000000,1.000000,59979.163724,1285.000000
978022.02000046,171158.25999451,91.50000000,18.000000,-23.000000,1.000000,4.000000,2.000000,63836.085110,367.000000
978018.92000008,171159.27000427,84.25000000,18.000000,-23.000000,1.000000,4.000000,3.000000,63836.085110,915.000000
978014.07999992,171160.22000122,87.01999664,54.000000,-20.000000,1.000000,1.000000,1.000000,59979.163724,1683.000000
978017.54000092,171159.77999878,84.33999634,54.000000,-20.000000,1.000000,1.000000,1.000000,59979.163724,1418.000000
978023.17000008,171158.02000427,95.13999939,56.000000,7.000000,1.000000,2.000000,2.000000,59696.648587,744.000000
978022.92000008,171157.96000671,92.72000122,56.000000,7.000000,1.000000,4.000000,3.000000,59696.648587,1063.000000
978023.25000000,171157.92999268,90.06999969,56.000000,7.000000,1.000000,4.000000,4.000000,59696.648587,1456.000000
978018.32999992,171159.63999939,85.59999847,54.000000,-20.000000,1.000000,1.000000,1.000000,59979.163724,1788.000000
978015.35000038,171160.55000305,94.33999634,43.000000,24.000000,1.000000,1.000000,1.000000,61166.105618,1970.000000
978019.92000008,171159.03999329,85.79000092,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.462063,2018.000000
978021.67000008,171158.38000488,87.76000214,56.000000,7.000000,1.000000,2.000000,1.000000,59696.655911,1307.000000
978022.11000061,171158.33999634,84.16000366,56.000000,7.000000,1.000000,2.000000,2.000000,59696.655911,1406.000000
978020.68000031,171158.89999390,93.31999969,17.000000,13.000000,1.000000,1.000000,1.000000,63980.763577,1861.000000
978013.48999977,171161.05999756,91.23000336,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.387845,2028.000000
978016.63999939,171159.94999695,92.05999756,17.000000,13.000000,1.000000,1.000000,1.000000,63980.786038,1879.000000
978016.85000038,171159.86999512,90.33999634,17.000000,13.000000,1.000000,1.000000,1.000000,63980.786038,1879.000000
978017.05999947,171159.78999329,88.55999756,17.000000,13.000000,1.000000,1.000000,1.000000,63980.786038,1952.000000
978017.22999954,171159.75000000,86.75000000,17.000000,13.000000,1.000000,1.000000,1.000000,63980.786038,1923.000000
978023.07999992,171158.05999756,87.84999847,83.000000,-16.000000,1.000000,1.000000,1.000000,71141.500149,2008.000000
978014.35000038,171160.77000427,89.38999939,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.394681,1988.000000
978014.35999966,171160.74000549,95.45999908,83.000000,-16.000000,1.000000,1.000000,1.000000,71141.394681,1998.000000
978015.35999966,171160.55999756,91.62999725,43.000000,24.000000,1.000000,1.000000,1.000000,61166.113186,1988.000000
978015.47999954,171160.50999451,87.37000275,43.000000,24.000000,1.000000,1.000000,1.000000,61166.113431,2047.000000
978015.56000042,171160.47999573,84.51000214,43.000000,24.000000,1.000000,1.000000,1.000000,61166.113431,2008.000000
978020.32999992,171158.67999268,84.26999664,57.000000,6.000000,1.000000,2.000000,1.000000,59595.538724,1478.000000
978024.30999947,171157.63999939,91.84999847,57.000000,6.000000,1.000000,2.000000,2.000000,59595.538724,1327.000000
978013.76000023,171161.08000183,93.44999695,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.616116,2018.000000
978020.60000038,171158.83000183,95.26000214,54.000000,-20.000000,1.000000,1.000000,1.000000,59979.171048,1779.000000
978014.67000008,171159.78999329,85.51000214,42.000000,-10.000000,1.000000,2.000000,1.000000,61264.631009,324.000000
