Source,Target,Type
0,58770,Directed
58770,42616,Directed
42616,2881,Directed
42616,21436,Directed
42616,4332,Directed
42616,90219,Directed
42616,88541,Directed
58770,20796,Directed
20796,85204,Directed
20796,69170,Directed
20796,23734,Directed
20796,10674,Directed
20796,92469,Directed
58770,96341,Directed
96341,55141,Directed
96341,91671,Directed
96341,89553,Directed
58770,36333,Directed
36333,69492,Directed
36333,81364,Directed
58770,46490,Directed
46490,3868,Directed
46490,62400,Directed
46490,52240,Directed
46490,55433,Directed
46490,35306,Directed
46490,28990,Directed
58770,25416,Directed
25416,77397,Directed
25416,8663,Directed
25416,51344,Directed
25416,97911,Directed
25416,81700,Directed
0,85444,Directed
85444,74586,Directed
74586,72906,Directed
74586,74319,Directed
74586,13493,Directed
74586,54307,Directed
74586,35539,Directed
74586,23531,Directed
74586,16712,Directed
85444,6688,Directed
6688,92236,Directed
6688,3483,Directed
6688,63820,Directed
6688,56434,Directed
6688,1547,Directed
6688,33324,Directed
6688,43282,Directed
85444,83321,Directed
83321,63471,Directed
83321,5482,Directed
83321,80174,Directed
83321,65190,Directed
83321,77793,Directed
83321,59546,Directed
83321,13702,Directed
85444,61043,Directed
61043,24852,Directed
61043,66101,Directed
61043,11691,Directed
61043,99126,Directed
61043,86179,Directed
61043,83645,Directed
85444,2453,Directed
2453,45056,Directed
2453,79270,Directed
2453,68873,Directed
2453,86461,Directed
2453,7740,Directed
2453,16343,Directed
85444,62531,Directed
62531,94371,Directed
62531,29798,Directed
62531,20531,Directed
62531,60900,Directed
62531,42390,Directed
62531,46509,Directed
62531,87649,Directed
62531,93828,Directed
85444,75802,Directed
75802,60724,Directed
75802,8579,Directed
75802,26956,Directed
85444,44312,Directed
44312,2634,Directed
44312,42755,Directed
44312,30660,Directed
44312,65102,Directed
44312,41605,Directed
44312,30608,Directed
44312,15102,Directed
44312,43651,Directed
0,27972,Directed
27972,65957,Directed
65957,45599,Directed
65957,17598,Directed
65957,59621,Directed
65957,10250,Directed
65957,27881,Directed
27972,85886,Directed
85886,4957,Directed
85886,67317,Directed
85886,62379,Directed
85886,61470,Directed
27972,47104,Directed
47104,38816,Directed
47104,9542,Directed
47104,89573,Directed
47104,90373,Directed
47104,64644,Directed
27972,3678,Directed
3678,2750,Directed
3678,57060,Directed
3678,47224,Directed
3678,46616,Directed
3678,76548,Directed
3678,59348,Directed
27972,31513,Directed
31513,20741,Directed
31513,1264,Directed
31513,46039,Directed
27972,43095,Directed
43095,2433,Directed
43095,45383,Directed
43095,27626,Directed
43095,52359,Directed
43095,36171,Directed
0,86377,Directed
86377,90783,Directed
90783,16221,Directed
90783,78203,Directed
90783,55485,Directed
90783,23790,Directed
90783,20858,Directed
90783,99952,Directed
86377,40494,Directed
40494,55611,Directed
40494,43171,Directed
40494,45451,Directed
40494,66954,Directed
40494,42511,Directed
40494,17653,Directed
40494,77941,Directed
86377,42152,Directed
42152,83210,Directed
42152,67768,Directed
42152,86343,Directed
42152,92472,Directed
86377,47861,Directed
47861,12989,Directed
47861,86061,Directed
47861,67758,Directed
47861,4905,Directed
47861,12057,Directed
47861,1205,Directed
47861,32944,Directed
86377,7710,Directed
7710,619,Directed
7710,73695,Directed
7710,74979,Directed
7710,60972,Directed
7710,76858,Directed
7710,79109,Directed
7710,60341,Directed
86377,57156,Directed
57156,59595,Directed
57156,38848,Directed
57156,62161,Directed
57156,2592,Directed
57156,4841,Directed
57156,38216,Directed
0,36137,Directed
36137,87250,Directed
87250,8213,Directed
87250,84848,Directed
87250,15833,Directed
87250,19290,Directed
87250,84116,Directed
87250,31053,Directed
36137,93501,Directed
93501,51866,Directed
93501,43781,Directed
93501,37847,Directed
93501,30637,Directed
93501,48550,Directed
36137,74705,Directed
74705,74166,Directed
74705,57997,Directed
74705,87517,Directed
74705,59891,Directed
74705,53958,Directed
74705,2394,Directed
74705,83809,Directed
36137,94170,Directed
94170,75623,Directed
94170,73802,Directed
94170,61291,Directed
94170,27719,Directed
94170,8833,Directed
36137,21987,Directed
21987,21978,Directed
21987,79409,Directed
21987,77025,Directed
21987,43342,Directed
21987,97045,Directed
21987,99164,Directed
36137,59488,Directed
59488,67146,Directed
59488,45631,Directed
59488,98482,Directed
59488,19884,Directed
0,32905,Directed
32905,10632,Directed
10632,3956,Directed
10632,90918,Directed
10632,63833,Directed
10632,91535,Directed
10632,15765,Directed
10632,25494,Directed
10632,50226,Directed
32905,9574,Directed
9574,91289,Directed
9574,15664,Directed
9574,13663,Directed
9574,21833,Directed
9574,80534,Directed
9574,66769,Directed
9574,93142,Directed
32905,32684,Directed
32684,5089,Directed
32684,9743,Directed
32684,45112,Directed
32684,55492,Directed
32684,78073,Directed
32684,58405,Directed
32905,73760,Directed
73760,72408,Directed
73760,45127,Directed
73760,81334,Directed
73760,9244,Directed
73760,26421,Directed
73760,20274,Directed
73760,31084,Directed
32905,51525,Directed
51525,67456,Directed
51525,1021,Directed
51525,51149,Directed
51525,83815,Directed
51525,29634,Directed
51525,3726,Directed
51525,92354,Directed
32905,28939,Directed
28939,73001,Directed
28939,71393,Directed
28939,75454,Directed
28939,3776,Directed
28939,80365,Directed
28939,47538,Directed
0,15788,Directed
15788,6100,Directed
6100,81786,Directed
6100,41610,Directed
6100,11728,Directed
6100,26946,Directed
6100,89970,Directed
15788,79497,Directed
79497,25105,Directed
79497,63402,Directed
79497,65648,Directed
79497,14459,Directed
79497,66273,Directed
79497,81677,Directed
79497,77426,Directed
15788,20599,Directed
20599,58820,Directed
20599,4578,Directed
20599,69933,Directed
20599,46400,Directed
20599,63906,Directed
20599,16394,Directed
15788,94765,Directed
94765,2742,Directed
94765,17849,Directed
94765,17377,Directed
94765,21998,Directed
94765,54860,Directed
94765,20955,Directed
15788,87310,Directed
87310,97242,Directed
87310,94150,Directed
87310,46353,Directed
87310,18979,Directed
87310,78016,Directed
87310,30347,Directed
0,87441,Directed
87441,96882,Directed
96882,60268,Directed
96882,71378,Directed
96882,59706,Directed
96882,34141,Directed
96882,38707,Directed
96882,42293,Directed
96882,44443,Directed
87441,78253,Directed
78253,88163,Directed
78253,86688,Directed
78253,38873,Directed
78253,75811,Directed
78253,50084,Directed
78253,9155,Directed
78253,64701,Directed
87441,23807,Directed
23807,87342,Directed
23807,93106,Directed
23807,98813,Directed
87441,90230,Directed
90230,37867,Directed
90230,15811,Directed
90230,17412,Directed
90230,5823,Directed
90230,46005,Directed
90230,71442,Directed
90230,87519,Directed
87441,26947,Directed
26947,24803,Directed
26947,40420,Directed
26947,88617,Directed
26947,92083,Directed
26947,3222,Directed
26947,85268,Directed
87441,48910,Directed
48910,32058,Directed
48910,50302,Directed
48910,80711,Directed
48910,70241,Directed
48910,34150,Directed
48910,73494,Directed
48910,5068,Directed
87441,13496,Directed
13496,77617,Directed
13496,44167,Directed
13496,91547,Directed
13496,89910,Directed
