X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
978013.68000031,171210.50000000,106.47000122,42.000000,-13.000000,1.000000,1.000000,1.000000,61264.533841,1558.000000
978018.64999962,171243.13999939,98.18000031,39.000000,-26.000000,1.000000,1.000000,1.000000,61554.092434,2018.000000
978047.56000137,171220.02000427,119.22000122,42.000000,-14.000000,1.000000,1.000000,1.000000,61264.931302,1699.000000
978021.22999954,171216.30000305,110.44000244,83.000000,-18.000000,1.000000,1.000000,1.000000,71141.177884,1632.000000
978025.39999962,171180.50000000,120.81999969,16.000000,1.000000,1.000000,1.000000,1.000000,64077.359036,1582.000000
978016.15999985,171160.08000183,82.59999847,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.653470,1988.000000
978043.18999863,171206.05999756,119.08999634,43.000000,27.000000,1.000000,1.000000,1.000000,61165.925442,1429.000000
978058.06000137,171173.05000305,106.20999908,15.000000,-16.000000,1.000000,1.000000,1.000000,64223.197903,1998.000000
978036.56999969,171201.58000183,122.76000214,16.000000,1.000000,1.000000,1.000000,1.000000,64077.719388,1628.000000
978061.77999878,171200.66000366,105.50000000,82.000000,6.000000,1.000000,1.000000,1.000000,71254.891751,1691.000000
978015.57999992,171226.63000488,104.37000275,16.000000,0.000000,1.000000,1.000000,1.000000,64077.959622,2097.000000
978027.34000015,171160.52000427,103.93000031,43.000000,24.000000,1.000000,1.000000,1.000000,61165.955716,990.000000
978044.02999878,171179.82000732,113.09999847,43.000000,26.000000,1.000000,1.000000,1.000000,61165.790677,1473.000000
978057.83000183,171161.03999329,88.51000214,16.000000,3.000000,1.000000,1.000000,1.000000,64077.291653,1830.000000
978022.81999969,171219.11999512,110.84999847,54.000000,-21.000000,1.000000,1.000000,1.000000,59978.368313,1562.000000
978021.84000015,171205.88000488,113.05000305,16.000000,0.000000,1.000000,1.000000,1.000000,64077.681790,1554.000000
978047.18000031,171206.61999512,116.45999908,82.000000,6.000000,1.000000,1.000000,1.000000,71255.064602,1756.000000
