Id,Degree,Depth
58770,67,1
42616,17,2
2881,5,3
21436,3,3
4332,3,3
90219,5,3
88541,1,3
20796,12,2
85204,3,3
69170,1,3
23734,2,3
10674,5,3
92469,1,3
96341,4,2
55141,1,3
91671,1,3
89553,2,3
36333,3,2
69492,1,3
81364,2,3
46490,18,2
3868,1,3
62400,3,3
52240,6,3
55433,3,3
35306,4,3
28990,1,3
25416,13,2
77397,2,3
8663,4,3
51344,2,3
97911,3,3
81700,2,3
85444,1057,1
74586,108,2
72906,2,3
74319,8,3
13493,29,3
54307,28,3
35539,22,3
23531,2,3
16712,17,3
6688,59,2
92236,11,3
3483,2,3
63820,4,3
56434,4,3
1547,15,3
33324,22,3
43282,1,3
83321,283,2
63471,89,3
5482,8,3
80174,51,3
65190,3,3
77793,60,3
59546,17,3
13702,55,3
61043,23,2
24852,2,3
66101,1,3
11691,3,3
99126,4,3
86179,11,3
83645,2,3
2453,64,2
45056,12,3
79270,24,3
68873,13,3
86461,3,3
7740,3,3
16343,9,3
62531,222,2
94371,3,3
29798,31,3
20531,14,3
60900,52,3
42390,39,3
46509,25,3
87649,39,3
93828,19,3
75802,11,2
60724,3,3
8579,5,3
26956,3,3
44312,287,2
2634,41,3
42755,43,3
30660,58,3
65102,9,3
41605,15,3
30608,55,3
15102,1,3
43651,65,3
27972,109,1
65957,20,2
45599,6,3
17598,2,3
59621,1,3
10250,7,3
27881,4,3
85886,10,2
4957,1,3
67317,2,3
62379,3,3
61470,4,3
47104,22,2
38816,5,3
9542,6,3
89573,3,3
90373,4,3
64644,4,3
3678,23,2
2750,6,3
57060,2,3
47224,1,3
46616,2,3
76548,5,3
59348,7,3
31513,4,2
20741,1,3
1264,1,3
46039,2,3
43095,30,2
2433,7,3
45383,5,3
27626,12,3
52359,2,3
36171,4,3
86377,916,1
90783,229,2
16221,53,3
78203,47,3
55485,14,3
23790,43,3
20858,52,3
99952,20,3
40494,133,2
55611,40,3
43171,13,3
45451,2,3
66954,18,3
42511,22,3
17653,23,3
77941,15,3
42152,54,2
83210,15,3
67768,19,3
86343,7,3
92472,13,3
47861,240,2
12989,57,3
86061,4,3
67758,41,3
4905,3,3
12057,67,3
1205,22,3
32944,46,3
7710,150,2
619,16,3
73695,43,3
74979,46,3
60972,10,3
76858,5,3
79109,1,3
60341,29,3
57156,110,2
59595,27,3
38848,11,3
62161,4,3
2592,32,3
4841,19,3
38216,17,3
36137,120,1
87250,15,2
8213,3,3
84848,1,3
15833,3,3
19290,4,3
84116,3,3
31053,1,3
93501,11,2
51866,1,3
43781,3,3
37847,2,3
30637,3,3
48550,2,3
74705,42,2
74166,18,3
57997,7,3
87517,3,3
59891,2,3
53958,3,3
2394,7,3
83809,2,3
94170,16,2
75623,5,3
73802,3,3
61291,1,3
27719,3,3
8833,4,3
21987,24,2
21978,2,3
79409,6,3
77025,2,3
43342,3,3
97045,5,3
99164,6,3
59488,12,2
67146,3,3
45631,1,3
98482,3,3
19884,5,3
32905,814,1
10632,170,2
3956,1,3
90918,28,3
63833,15,3
91535,49,3
15765,15,3
25494,24,3
50226,38,3
9574,56,2
91289,14,3
15664,1,3
13663,4,3
21833,17,3
80534,1,3
66769,16,3
93142,3,3
32684,84,2
5089,1,3
9743,26,3
45112,22,3
55492,10,3
78073,2,3
58405,23,3
73760,199,2
72408,32,3
45127,29,3
81334,3,3
9244,50,3
26421,32,3
20274,49,3
31084,4,3
51525,74,2
67456,6,3
1021,19,3
51149,22,3
83815,1,3
29634,1,3
3726,10,3
92354,15,3
28939,231,2
73001,63,3
71393,7,3
75454,22,3
3776,40,3
80365,28,3
47538,71,3
15788,127,1
6100,24,2
81786,5,3
41610,3,3
11728,10,3
26946,5,3
89970,1,3
79497,24,2
25105,1,3
63402,1,3
65648,1,3
14459,4,3
66273,3,3
81677,3,3
77426,11,3
20599,17,2
58820,1,3
4578,5,3
69933,2,3
46400,1,3
63906,2,3
16394,6,3
94765,16,2
2742,1,3
17849,4,3
17377,2,3
21998,2,3
54860,5,3
20955,2,3
87310,46,2
97242,11,3
94150,4,3
46353,5,3
18979,14,3
78016,4,3
30347,8,3
87441,886,1
96882,64,2
60268,1,3
71378,22,3
59706,1,3
34141,16,3
38707,4,3
42293,2,3
44443,18,3
78253,204,2
88163,17,3
86688,37,3
38873,1,3
75811,60,3
50084,36,3
9155,49,3
64701,4,3
23807,3,2
87342,1,3
93106,1,3
98813,1,3
90230,225,2
37867,76,3
15811,7,3
17412,42,3
5823,40,3
46005,22,3
71442,13,3
87519,25,3
26947,219,2
24803,38,3
40420,22,3
88617,22,3
92083,37,3
3222,37,3
85268,63,3
48910,153,2
32058,6,3
50302,39,3
80711,3,3
70241,30,3
34150,46,3
73494,26,3
5068,3,3
13496,18,2
77617,4,3
44167,9,3
91547,1,3
89910,4,3
0,4096,0
