Source,Target,Type
0,99366,Directed
99366,40655,Directed
40655,22952,Directed
40655,36130,Directed
40655,25054,Directed
40655,21851,Directed
40655,39089,Directed
40655,74403,Directed
40655,85426,Directed
40655,72738,Directed
99366,42681,Directed
42681,65471,Directed
42681,18276,Directed
42681,11006,Directed
42681,10922,Directed
42681,71101,Directed
42681,48644,Directed
99366,53115,Directed
53115,79960,Directed
53115,72270,Directed
53115,21440,Directed
53115,32902,Directed
99366,38821,Directed
38821,70920,Directed
38821,59190,Directed
38821,81615,Directed
38821,72844,Directed
38821,3394,Directed
99366,89786,Directed
89786,23170,Directed
89786,4581,Directed
89786,74360,Directed
89786,50165,Directed
89786,68241,Directed
89786,64252,Directed
89786,33529,Directed
89786,78976,Directed
99366,28584,Directed
28584,51767,Directed
28584,33395,Directed
28584,14543,Directed
28584,29627,Directed
28584,32056,Directed
28584,95332,Directed
28584,66250,Directed
28584,6975,Directed
0,9612,Directed
9612,14681,Directed
14681,28286,Directed
14681,88108,Directed
14681,79788,Directed
14681,80880,Directed
14681,76060,Directed
14681,49669,Directed
14681,74873,Directed
9612,84162,Directed
84162,98074,Directed
84162,96984,Directed
84162,58631,Directed
84162,39667,Directed
84162,59598,Directed
84162,59000,Directed
84162,99119,Directed
9612,66949,Directed
66949,75522,Directed
66949,94450,Directed
66949,63734,Directed
66949,73569,Directed
66949,50604,Directed
66949,11738,Directed
66949,32149,Directed
9612,76967,Directed
76967,5893,Directed
76967,32302,Directed
76967,12559,Directed
76967,37089,Directed
9612,51341,Directed
51341,12350,Directed
51341,70308,Directed
51341,79224,Directed
51341,42207,Directed
51341,56087,Directed
51341,43208,Directed
51341,7332,Directed
9612,63093,Directed
63093,80261,Directed
63093,7228,Directed
63093,25268,Directed
63093,84422,Directed
63093,9271,Directed
63093,61002,Directed
63093,91758,Directed
63093,12349,Directed
9612,75959,Directed
75959,98541,Directed
75959,56257,Directed
75959,91183,Directed
9612,87169,Directed
87169,91000,Directed
87169,57572,Directed
87169,60525,Directed
87169,90680,Directed
87169,37367,Directed
87169,26457,Directed
87169,9186,Directed
0,90419,Directed
90419,11491,Directed
11491,76751,Directed
11491,69517,Directed
11491,75755,Directed
11491,69019,Directed
11491,95995,Directed
11491,89235,Directed
90419,72023,Directed
72023,57019,Directed
72023,28856,Directed
72023,32724,Directed
72023,72853,Directed
90419,96036,Directed
96036,76551,Directed
96036,65354,Directed
96036,86767,Directed
96036,76226,Directed
96036,38184,Directed
96036,69794,Directed
90419,20387,Directed
20387,35614,Directed
20387,54799,Directed
20387,9477,Directed
20387,23867,Directed
20387,83077,Directed
20387,84364,Directed
90419,11661,Directed
11661,64161,Directed
11661,19998,Directed
11661,93486,Directed
11661,62644,Directed
11661,95723,Directed
11661,24079,Directed
90419,86310,Directed
86310,40413,Directed
86310,35537,Directed
86310,98704,Directed
86310,27946,Directed
86310,19197,Directed
86310,18772,Directed
0,92072,Directed
92072,13876,Directed
13876,78946,Directed
13876,42391,Directed
13876,34255,Directed
13876,42083,Directed
13876,32685,Directed
13876,20924,Directed
92072,29077,Directed
29077,3485,Directed
29077,81623,Directed
29077,30993,Directed
29077,57289,Directed
29077,9567,Directed
29077,79167,Directed
29077,53138,Directed
92072,1785,Directed
1785,52417,Directed
1785,93887,Directed
1785,7617,Directed
1785,93571,Directed
92072,71594,Directed
71594,57,Directed
71594,15523,Directed
71594,21349,Directed
71594,63671,Directed
71594,81032,Directed
71594,55097,Directed
71594,46963,Directed
92072,9002,Directed
9002,76738,Directed
9002,42431,Directed
9002,85438,Directed
9002,25418,Directed
9002,30240,Directed
9002,29914,Directed
9002,77856,Directed
92072,29295,Directed
29295,65308,Directed
29295,4184,Directed
29295,94938,Directed
29295,23037,Directed
29295,85506,Directed
29295,80591,Directed
29295,73381,Directed
0,4076,Directed
4076,29800,Directed
29800,65170,Directed
29800,86583,Directed
29800,19746,Directed
29800,16880,Directed
29800,57855,Directed
29800,70383,Directed
4076,70973,Directed
70973,35117,Directed
70973,25568,Directed
70973,6036,Directed
70973,54728,Directed
70973,90191,Directed
70973,70251,Directed
4076,81709,Directed
81709,16862,Directed
81709,80535,Directed
81709,19003,Directed
81709,95645,Directed
81709,68517,Directed
81709,70205,Directed
81709,46460,Directed
81709,55191,Directed
4076,44053,Directed
44053,74321,Directed
44053,91215,Directed
44053,52644,Directed
44053,85184,Directed
44053,65077,Directed
44053,72899,Directed
4076,51780,Directed
51780,38941,Directed
51780,78496,Directed
51780,85434,Directed
51780,49409,Directed
51780,53572,Directed
51780,48365,Directed
51780,75866,Directed
4076,31018,Directed
31018,46653,Directed
31018,66505,Directed
31018,17145,Directed
31018,84283,Directed
31018,37818,Directed
0,99665,Directed
99665,24278,Directed
24278,8755,Directed
24278,77789,Directed
24278,32552,Directed
24278,58068,Directed
24278,32126,Directed
24278,19745,Directed
24278,90593,Directed
99665,12752,Directed
12752,95624,Directed
12752,25564,Directed
12752,2675,Directed
12752,89924,Directed
99665,7473,Directed
7473,30534,Directed
7473,98069,Directed
7473,80269,Directed
7473,11116,Directed
7473,8581,Directed
7473,58798,Directed
99665,54700,Directed
54700,63445,Directed
54700,44669,Directed
54700,98217,Directed
54700,46440,Directed
54700,87994,Directed
54700,4057,Directed
99665,12125,Directed
12125,88248,Directed
12125,57692,Directed
12125,75228,Directed
12125,94781,Directed
12125,91461,Directed
12125,49095,Directed
12125,60777,Directed
99665,57097,Directed
57097,72777,Directed
57097,52107,Directed
57097,74919,Directed
57097,62315,Directed
57097,15135,Directed
57097,46009,Directed
0,33640,Directed
33640,84909,Directed
84909,72601,Directed
84909,41508,Directed
84909,14629,Directed
84909,6206,Directed
84909,95781,Directed
84909,86236,Directed
84909,39800,Directed
33640,90345,Directed
90345,62493,Directed
90345,65169,Directed
90345,28915,Directed
90345,26706,Directed
90345,98412,Directed
90345,49701,Directed
