Id,Degree,Depth
99366,404,1
40655,95,2
22952,5,3
36130,1,3
25054,18,3
21851,15,3
39089,30,3
74403,22,3
85426,2,3
72738,2,3
42681,83,2
65471,16,3
18276,14,3
11006,17,3
10922,19,3
71101,8,3
48644,9,3
53115,46,2
79960,6,3
72270,16,3
21440,18,3
32902,6,3
38821,22,2
70920,1,3
59190,7,3
81615,2,3
72844,9,3
3394,3,3
89786,85,2
23170,3,3
4581,1,3
74360,18,3
50165,17,3
68241,19,3
64252,12,3
33529,7,3
78976,8,3
28584,73,2
51767,7,3
33395,5,3
14543,10,3
29627,13,3
32056,15,3
95332,10,3
66250,5,3
6975,8,3
9612,831,1
14681,126,2
28286,6,3
88108,9,3
79788,32,3
80880,15,3
76060,32,3
49669,18,3
74873,14,3
84162,39,2
98074,8,3
96984,1,3
58631,1,3
39667,7,3
59598,10,3
59000,11,3
99119,1,3
66949,154,2
75522,40,3
94450,3,3
63734,35,3
73569,1,3
50604,34,3
11738,11,3
32149,30,3
76967,9,2
5893,2,3
32302,3,3
12559,3,3
37089,1,3
51341,115,2
12350,16,3
70308,27,3
79224,16,3
42207,25,3
56087,14,3
43208,8,3
7332,9,3
63093,213,2
80261,20,3
7228,29,3
25268,11,3
84422,25,3
9271,50,3
61002,36,3
91758,26,3
12349,16,3
75959,7,2
98541,2,3
56257,2,3
91183,3,3
87169,168,2
91000,21,3
57572,22,3
60525,33,3
90680,7,3
37367,6,3
26457,37,3
9186,42,3
90419,445,1
11491,99,2
76751,26,3
69517,25,3
75755,12,3
69019,12,3
95995,12,3
89235,12,3
72023,64,2
57019,18,3
28856,12,3
32724,14,3
72853,20,3
96036,108,2
76551,26,3
65354,25,3
86767,5,3
76226,2,3
38184,27,3
69794,23,3
20387,91,2
35614,21,3
54799,19,3
9477,3,3
23867,4,3
83077,21,3
84364,23,3
11661,27,2
64161,6,3
19998,6,3
93486,4,3
62644,5,3
95723,4,3
24079,2,3
86310,56,2
40413,3,3
35537,17,3
98704,13,3
27946,7,3
19197,14,3
18772,2,3
92072,534,1
13876,138,2
78946,38,3
42391,25,3
34255,10,3
42083,27,3
32685,26,3
20924,12,3
29077,85,2
3485,24,3
81623,1,3
30993,8,3
57289,14,3
9567,11,3
79167,20,3
53138,7,3
1785,31,2
52417,10,3
93887,8,3
7617,4,3
93571,9,3
71594,128,2
57,32,3
15523,1,3
21349,15,3
63671,3,3
81032,35,3
55097,20,3
46963,22,3
9002,100,2
76738,5,3
42431,30,3
85438,25,3
25418,17,3
30240,2,3
29914,14,3
77856,7,3
29295,52,2
65308,13,3
4184,1,3
94938,4,3
23037,2,3
85506,15,3
80591,10,3
73381,7,3
4076,509,1
29800,62,2
65170,17,3
86583,12,3
19746,3,3
16880,1,3
57855,16,3
70383,13,3
70973,53,2
35117,12,3
25568,12,3
6036,13,3
54728,13,3
90191,1,3
70251,2,3
81709,123,2
16862,37,3
80535,25,3
19003,10,3
95645,7,3
68517,4,3
70205,3,3
46460,20,3
55191,17,3
44053,89,2
74321,22,3
91215,23,3
52644,1,3
85184,3,3
65077,23,3
72899,17,3
51780,100,2
38941,10,3
78496,1,3
85434,1,3
49409,23,3
53572,21,3
48365,22,3
75866,22,3
31018,82,2
46653,16,3
66505,20,3
17145,1,3
84283,21,3
37818,24,3
99665,487,1
24278,135,2
8755,10,3
77789,30,3
32552,15,3
58068,43,3
32126,4,3
19745,20,3
90593,13,3
12752,27,2
95624,8,3
25564,5,3
2675,6,3
89924,8,3
7473,45,2
30534,11,3
98069,1,3
80269,13,3
11116,5,3
8581,1,3
58798,14,3
54700,93,2
63445,26,3
44669,8,3
98217,7,3
46440,25,3
87994,4,3
4057,23,3
12125,65,2
88248,13,3
57692,11,3
75228,16,3
94781,5,3
91461,1,3
49095,10,3
60777,9,3
57097,122,2
72777,27,3
52107,5,3
74919,14,3
62315,21,3
15135,20,3
46009,35,3
33640,372,1
84909,49,2
72601,3,3
41508,3,3
14629,11,3
6206,9,3
95781,13,3
86236,9,3
39800,1,3
90345,86,2
62493,5,3
65169,1,3
28915,3,3
26706,18,3
98412,20,3
49701,21,3
1750,18,3
7426,67,2
64807,11,3
86028,15,3
54657,8,3
17201,5,3
7646,11,3
91959,17,3
58000,85,2
24850,3,3
49576,13,3
43475,11,3
50593,20,3
61898,20,3
94760,14,3
39898,4,3
41638,85,2
62559,11,3
27160,16,3
33865,14,3
39028,15,3
56705,15,3
74903,14,3
16709,514,1
63513,34,2
37357,10,3
34624,1,3
22601,9,3
61653,3,3
77162,11,3
24355,116,2
12414,12,3
93461,24,3
60688,1,3
34958,31,3
88837,16,3
45902,28,3
19421,4,3
91127,24,2
74664,12,3
63720,1,3
14415,11,3
59841,107,2
49507,31,3
6822,2,3
34828,26,3
39914,24,3
38545,7,3
97062,8,3
59781,9,3
28489,131,2
24155,21,3
60087,12,3
5534,10,3
92623,24,3
55817,25,3
3044,39,3
35840,97,2
27587,5,3
100,17,3
53930,10,3
65205,13,3
47149,33,3
54377,18,3
33389,1,3
37146,5,2
53075,2,3
60941,1,3
91318,2,3
0,4096,0
