Source,Target,Type
0,84365,Directed
84365,76656,Directed
76656,74730,Directed
76656,62568,Directed
76656,57229,Directed
76656,35496,Directed
76656,17825,Directed
84365,74147,Directed
74147,19748,Directed
74147,37981,Directed
74147,53729,Directed
74147,54881,Directed
74147,69004,Directed
84365,97062,Directed
97062,60324,Directed
97062,78520,Directed
97062,83993,Directed
97062,48130,Directed
97062,56915,Directed
97062,24818,Directed
97062,9502,Directed
84365,10562,Directed
10562,30987,Directed
10562,41884,Directed
10562,97577,Directed
10562,61958,Directed
10562,76095,Directed
10562,27079,Directed
10562,55951,Directed
84365,59698,Directed
59698,51833,Directed
59698,59302,Directed
59698,10530,Directed
59698,37237,Directed
59698,951,Directed
59698,86604,Directed
59698,37502,Directed
59698,33145,Directed
84365,52020,Directed
52020,47004,Directed
52020,68524,Directed
52020,37106,Directed
52020,88996,Directed
52020,97265,Directed
0,20780,Directed
20780,38369,Directed
38369,51846,Directed
38369,89715,Directed
38369,21670,Directed
38369,97784,Directed
38369,60352,Directed
38369,36905,Directed
38369,3253,Directed
38369,56010,Directed
20780,15321,Directed
15321,21747,Directed
15321,57663,Directed
15321,56616,Directed
15321,47850,Directed
15321,44453,Directed
20780,96036,Directed
96036,66377,Directed
20780,98744,Directed
98744,67213,Directed
98744,25234,Directed
98744,60092,Directed
98744,28737,Directed
20780,64873,Directed
64873,27735,Directed
64873,15092,Directed
64873,25845,Directed
64873,73343,Directed
20780,17270,Directed
17270,67307,Directed
17270,21694,Directed
17270,91566,Directed
17270,92531,Directed
17270,28869,Directed
0,49791,Directed
49791,38050,Directed
38050,20293,Directed
38050,42242,Directed
38050,24472,Directed
38050,14655,Directed
38050,25501,Directed
38050,94187,Directed
38050,71260,Directed
38050,66741,Directed
49791,10627,Directed
10627,27123,Directed
10627,54197,Directed
10627,35375,Directed
10627,99442,Directed
10627,60879,Directed
10627,95042,Directed
10627,12672,Directed
49791,5726,Directed
5726,2111,Directed
5726,61967,Directed
5726,78563,Directed
5726,21203,Directed
5726,61876,Directed
5726,15208,Directed
5726,49316,Directed
49791,15039,Directed
15039,74482,Directed
15039,5232,Directed
15039,79579,Directed
15039,12349,Directed
15039,93957,Directed
15039,39968,Directed
49791,39512,Directed
39512,46741,Directed
39512,57326,Directed
39512,27420,Directed
39512,4669,Directed
39512,61382,Directed
39512,86177,Directed
49791,37689,Directed
37689,95840,Directed
37689,33607,Directed
37689,95077,Directed
37689,7479,Directed
37689,66003,Directed
49791,29778,Directed
29778,98770,Directed
29778,4108,Directed
29778,15156,Directed
29778,67711,Directed
29778,64809,Directed
29778,62598,Directed
29778,59771,Directed
0,58294,Directed
58294,74947,Directed
74947,66583,Directed
74947,2602,Directed
74947,12009,Directed
74947,80446,Directed
74947,6904,Directed
58294,27646,Directed
27646,15128,Directed
27646,19416,Directed
27646,93444,Directed
27646,99938,Directed
58294,47724,Directed
47724,70002,Directed
47724,29585,Directed
47724,65482,Directed
47724,1370,Directed
47724,25077,Directed
47724,4242,Directed
58294,4608,Directed
4608,28525,Directed
4608,80612,Directed
58294,84484,Directed
84484,66837,Directed
84484,83650,Directed
58294,66697,Directed
66697,85821,Directed
66697,34575,Directed
58294,19262,Directed
19262,67471,Directed
19262,10667,Directed
19262,62316,Directed
19262,20173,Directed
0,76936,Directed
76936,38037,Directed
38037,47798,Directed
38037,47951,Directed
38037,16033,Directed
38037,70822,Directed
38037,5716,Directed
38037,39858,Directed
38037,23580,Directed
76936,96151,Directed
96151,4117,Directed
96151,48334,Directed
96151,1879,Directed
96151,20672,Directed
96151,60107,Directed
96151,12435,Directed
96151,17335,Directed
96151,41989,Directed
76936,22214,Directed
22214,80179,Directed
22214,40943,Directed
22214,59499,Directed
22214,32960,Directed
22214,4348,Directed
22214,63631,Directed
76936,24113,Directed
24113,8324,Directed
24113,20094,Directed
24113,9687,Directed
24113,98027,Directed
24113,64118,Directed
24113,30667,Directed
76936,94506,Directed
94506,87212,Directed
94506,42812,Directed
94506,77710,Directed
94506,9178,Directed
94506,52565,Directed
94506,50182,Directed
76936,84002,Directed
84002,49175,Directed
84002,21846,Directed
84002,87618,Directed
84002,86095,Directed
84002,44934,Directed
84002,74196,Directed
84002,3662,Directed
76936,5212,Directed
5212,82875,Directed
5212,57926,Directed
5212,58157,Directed
5212,94047,Directed
5212,73405,Directed
5212,21357,Directed
5212,14601,Directed
0,7951,Directed
7951,23177,Directed
23177,42605,Directed
23177,51358,Directed
23177,79894,Directed
23177,99070,Directed
23177,86283,Directed
23177,26114,Directed
23177,6096,Directed
7951,77985,Directed
77985,60039,Directed
77985,59635,Directed
77985,82779,Directed
77985,33987,Directed
77985,24592,Directed
7951,43601,Directed
43601,64598,Directed
43601,43519,Directed
43601,65329,Directed
43601,92605,Directed
43601,61607,Directed
43601,56347,Directed
7951,6515,Directed
6515,53673,Directed
6515,33395,Directed
6515,12447,Directed
6515,70981,Directed
6515,54802,Directed
6515,82732,Directed
6515,50,Directed
7951,58599,Directed
58599,63435,Directed
58599,71875,Directed
58599,1856,Directed
58599,6183,Directed
58599,24264,Directed
58599,21688,Directed
58599,55560,Directed
7951,46197,Directed
46197,76240,Directed
46197,84433,Directed
46197,32556,Directed
46197,97471,Directed
46197,94301,Directed
46197,88362,Directed
46197,79693,Directed
7951,32871,Directed
32871,15189,Directed
32871,74726,Directed
32871,53140,Directed
32871,78698,Directed
32871,21545,Directed
32871,3940,Directed
32871,15733,Directed
32871,7109,Directed
