X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
976011.64999962,172939.90999985,39.16999817,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.432615,1530.000000
976011.43999958,172942.41999817,39.20999908,35.000000,12.000000,1.000000,1.000000,1.000000,62011.126463,1749.000000
976008.85000038,172945.43999863,39.18999863,7.000000,21.000000,1.000000,1.000000,1.000000,65143.146482,1475.000000
976017.76000023,172937.29999924,39.36999893,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.470213,1679.000000
976017.75000000,172940.79000092,39.50000000,33.000000,-2.000000,1.000000,1.000000,1.000000,62227.992430,1783.000000
976009.36999989,172934.45999908,40.97999954,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.403685,1298.000000
976022.07999992,172934.97999954,39.59000015,82.000000,27.000000,1.000000,1.000000,1.000000,71290.106443,1663.000000
976009.14999962,172933.40000153,41.68000031,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.403685,1445.000000
976011.42000008,172932.09000015,40.88000107,35.000000,11.000000,1.000000,1.000000,1.000000,62011.096434,1258.000000
976007.90999985,172944.65999985,39.13999939,46.000000,-17.000000,1.000000,1.000000,1.000000,60859.357664,1655.000000
976017.04999924,172939.36000061,39.43999863,33.000000,-2.000000,1.000000,1.000000,1.000000,62227.984983,1846.000000
976008.47000027,172941.56999969,39.04999924,34.000000,4.000000,1.000000,1.000000,1.000000,62061.351683,1715.000000
976000.34000000,172943.95000076,38.70999908,79.000000,25.000000,1.000000,1.000000,1.000000,71585.926756,1536.000000
976015.02000046,172934.72000122,39.25000000,36.000000,-23.000000,1.000000,1.000000,1.000000,61841.804197,1988.000000
976008.90999985,172934.68999863,40.65999985,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.411131,1313.000000
976000.28000000,172941.97999954,38.66999817,81.000000,-14.000000,1.000000,1.000000,1.000000,71380.831053,1810.000000
976008.77999973,172945.70999908,39.16999817,32.000000,15.000000,1.000000,1.000000,1.000000,62309.986815,1539.000000
976020.81999969,172939.33000183,39.58000183,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.410154,1646.000000
976008.77000046,172934.33000183,41.63999939,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.418699,1451.000000
976020.86000061,172937.02000046,39.49000168,48.000000,8.000000,1.000000,1.000000,1.000000,60661.605955,1727.000000
976008.26000023,172934.36999893,41.63999939,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.426146,1359.000000
976008.13000011,172933.65999985,41.63000107,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.426146,1408.000000
976018.95000076,172939.72000122,39.52000046,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.410154,1782.000000
976024.43000031,172938.59999847,39.81000137,79.000000,24.000000,1.000000,1.000000,1.000000,71586.144529,1414.000000
976014.01000023,172941.59999847,39.36000061,78.000000,-10.000000,1.000000,1.000000,1.000000,71753.406248,1710.000000
976006.63000011,172933.79000092,41.58000183,31.000000,-25.000000,1.000000,2.000000,1.000000,62483.441160,959.000000
976011.00000000,172934.59000015,39.24000168,35.000000,11.000000,1.000000,1.000000,1.000000,62011.103880,1495.000000
976010.72999954,172933.56000137,41.72999954,35.000000,11.000000,1.000000,1.000000,1.000000,62011.103880,1671.000000
976016.29999924,172937.63999939,39.29000092,48.000000,8.000000,1.000000,1.000000,1.000000,60661.613401,1770.000000
976022.78000069,172936.25000000,39.56999969,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.470213,1719.000000
976012.71000004,172938.02000046,39.15999985,33.000000,-2.000000,1.000000,1.000000,1.000000,62228.044920,1766.000000
