Source,Target,Type
71939,91363,Directed
91363,78975,Directed
78975,65189,Directed
78975,33238,Directed
78975,99590,Directed
78975,67223,Directed
78975,40413,Directed
78975,10225,Directed
78975,82409,Directed
78975,13541,Directed
91363,19537,Directed
19537,76608,Directed
19537,35531,Directed
19537,58476,Directed
19537,95116,Directed
19537,923,Directed
19537,66535,Directed
19537,51797,Directed
19537,7296,Directed
91363,27699,Directed
27699,91123,Directed
27699,61195,Directed
27699,60480,Directed
27699,68686,Directed
27699,95463,Directed
27699,60229,Directed
27699,41644,Directed
27699,69768,Directed
91363,32374,Directed
32374,64913,Directed
32374,40507,Directed
32374,24477,Directed
32374,3877,Directed
32374,77835,Directed
32374,62964,Directed
32374,28330,Directed
32374,19103,Directed
91363,34208,Directed
34208,91396,Directed
34208,68927,Directed
34208,79844,Directed
34208,28627,Directed
34208,95788,Directed
34208,67573,Directed
34208,26203,Directed
34208,51828,Directed
91363,97168,Directed
97168,98775,Directed
97168,37294,Directed
97168,38467,Directed
97168,55804,Directed
97168,25834,Directed
97168,74263,Directed
97168,45806,Directed
97168,69064,Directed
91363,74540,Directed
74540,13120,Directed
74540,90774,Directed
74540,36705,Directed
74540,39848,Directed
74540,38806,Directed
74540,60964,Directed
74540,91857,Directed
74540,25478,Directed
91363,36578,Directed
36578,83816,Directed
36578,27767,Directed
36578,84194,Directed
36578,9310,Directed
36578,52687,Directed
36578,85542,Directed
36578,69335,Directed
36578,61732,Directed
61732,22675,Directed
61732,88041,Directed
71939,97316,Directed
97316,89445,Directed
89445,79228,Directed
89445,36424,Directed
89445,56424,Directed
89445,72994,Directed
89445,19095,Directed
89445,12617,Directed
89445,17821,Directed
89445,108,Directed
97316,70949,Directed
70949,14289,Directed
70949,97557,Directed
70949,34396,Directed
70949,85086,Directed
70949,46955,Directed
70949,63772,Directed
70949,83950,Directed
70949,79926,Directed
97316,45090,Directed
45090,80303,Directed
45090,5510,Directed
45090,24801,Directed
45090,22847,Directed
45090,28005,Directed
45090,55124,Directed
45090,59580,Directed
45090,69956,Directed
97316,17142,Directed
17142,90549,Directed
17142,69207,Directed
17142,66736,Directed
17142,59477,Directed
17142,11163,Directed
17142,29309,Directed
17142,75323,Directed
17142,3191,Directed
97316,62892,Directed
62892,42736,Directed
62892,64633,Directed
62892,46667,Directed
62892,52098,Directed
62892,32040,Directed
62892,28987,Directed
62892,14510,Directed
62892,57546,Directed
97316,41156,Directed
41156,45633,Directed
41156,94866,Directed
41156,43327,Directed
41156,93280,Directed
41156,68366,Directed
41156,31414,Directed
41156,92142,Directed
41156,70294,Directed
97316,93325,Directed
93325,85917,Directed
93325,78972,Directed
93325,32660,Directed
93325,52533,Directed
93325,35632,Directed
93325,35979,Directed
93325,39324,Directed
93325,19699,Directed
97316,59144,Directed
59144,66877,Directed
59144,23159,Directed
59144,31171,Directed
59144,45184,Directed
59144,70559,Directed
59144,76417,Directed
59144,40172,Directed
59144,29423,Directed
29423,56715,Directed
29423,8672,Directed
71939,44695,Directed
44695,47845,Directed
47845,74786,Directed
47845,12613,Directed
47845,11026,Directed
47845,22090,Directed
47845,88202,Directed
47845,60287,Directed
47845,34195,Directed
47845,76168,Directed
44695,68067,Directed
68067,46645,Directed
68067,54285,Directed
68067,57318,Directed
68067,64200,Directed
68067,28871,Directed
68067,21231,Directed
68067,51015,Directed
68067,24228,Directed
44695,88786,Directed
88786,50872,Directed
88786,86892,Directed
88786,73261,Directed
88786,81004,Directed
88786,14110,Directed
88786,12362,Directed
88786,25508,Directed
88786,3382,Directed
44695,47006,Directed
47006,66991,Directed
47006,71170,Directed
47006,9392,Directed
47006,15398,Directed
47006,34659,Directed
47006,81390,Directed
47006,93462,Directed
47006,47399,Directed
44695,21295,Directed
21295,82978,Directed
21295,90978,Directed
21295,25616,Directed
21295,34505,Directed
21295,53382,Directed
21295,71483,Directed
21295,99339,Directed
21295,56531,Directed
44695,26192,Directed
26192,7604,Directed
26192,17553,Directed
26192,59922,Directed
26192,12559,Directed
26192,60132,Directed
26192,29710,Directed
26192,77022,Directed
26192,35269,Directed
44695,67375,Directed
67375,30259,Directed
67375,36450,Directed
67375,41172,Directed
67375,64125,Directed
67375,94899,Directed
67375,97882,Directed
67375,68702,Directed
67375,84552,Directed
44695,79477,Directed
79477,94876,Directed
79477,33498,Directed
79477,76546,Directed
79477,65884,Directed
79477,73075,Directed
79477,65931,Directed
79477,62453,Directed
79477,58086,Directed
58086,35630,Directed
58086,96635,Directed
71939,54976,Directed
54976,96733,Directed
96733,6725,Directed
96733,81825,Directed
96733,66779,Directed
96733,3596,Directed
96733,94454,Directed
96733,11720,Directed
96733,47467,Directed
96733,62724,Directed
54976,53557,Directed
53557,65345,Directed
53557,18568,Directed
53557,64486,Directed
53557,6337,Directed
53557,78573,Directed
53557,63058,Directed
53557,78346,Directed
53557,95764,Directed
54976,53800,Directed
53800,81354,Directed
53800,30386,Directed
53800,58028,Directed
53800,64846,Directed
53800,14140,Directed
53800,88285,Directed
53800,89565,Directed
53800,81000,Directed
54976,6140,Directed
6140,35107,Directed
6140,95330,Directed
6140,10163,Directed
6140,91283,Directed
6140,94498,Directed
6140,36890,Directed
6140,81017,Directed
6140,36167,Directed
54976,60891,Directed
60891,51001,Directed
60891,41343,Directed
60891,130,Directed
60891,96986,Directed
60891,61645,Directed
60891,94088,Directed
60891,30773,Directed
60891,53563,Directed
54976,79939,Directed
79939,28445,Directed
79939,82096,Directed
79939,8804,Directed
79939,69042,Directed
79939,81586,Directed
79939,9133,Directed
79939,29636,Directed
79939,84506,Directed
54976,9960,Directed
9960,61493,Directed
9960,19856,Directed
9960,4639,Directed
9960,61193,Directed
9960,26481,Directed
9960,86220,Directed
9960,77197,Directed
9960,57848,Directed
54976,61407,Directed
61407,14299,Directed
61407,90758,Directed
61407,30290,Directed
61407,87228,Directed
61407,29980,Directed
61407,72918,Directed
61407,19338,Directed
61407,40286,Directed
40286,6565,Directed
40286,71457,Directed
71939,69976,Directed
69976,7858,Directed
7858,90064,Directed
7858,16550,Directed
7858,45157,Directed
7858,56123,Directed
7858,26742,Directed
7858,19799,Directed
7858,27249,Directed
7858,92963,Directed
69976,62609,Directed
62609,60220,Directed
62609,96912,Directed
62609,15895,Directed
62609,52637,Directed
62609,33432,Directed
62609,47302,Directed
62609,15689,Directed
62609,34204,Directed
69976,59753,Directed
59753,48060,Directed
59753,8438,Directed
59753,86845,Directed
59753,51952,Directed
59753,66177,Directed
59753,32815,Directed
59753,36822,Directed
59753,81644,Directed
69976,98891,Directed
98891,15074,Directed
98891,6025,Directed
98891,49425,Directed
98891,24991,Directed
98891,91063,Directed
98891,92837,Directed
98891,94441,Directed
98891,42548,Directed
69976,84259,Directed
84259,19791,Directed
84259,85563,Directed
84259,28980,Directed
84259,31299,Directed
84259,51057,Directed
84259,94914,Directed
84259,9058,Directed
84259,51654,Directed
69976,64895,Directed
64895,99822,Directed
