Id,Label,Depth
71939,71939,0
91363,91363,1
78975,78975,2
65189,65189,3
33238,33238,3
99590,99590,3
67223,67223,3
40413,40413,3
10225,10225,3
82409,82409,3
13541,13541,3
19537,19537,2
76608,76608,3
35531,35531,3
58476,58476,3
95116,95116,3
923,923,3
66535,66535,3
51797,51797,3
7296,7296,3
27699,27699,2
91123,91123,3
61195,61195,3
60480,60480,3
68686,68686,3
95463,95463,3
60229,60229,3
41644,41644,3
69768,69768,3
32374,32374,2
64913,64913,3
40507,40507,3
24477,24477,3
3877,3877,3
77835,77835,3
62964,62964,3
28330,28330,3
19103,19103,3
34208,34208,2
91396,91396,3
68927,68927,3
79844,79844,3
28627,28627,3
95788,95788,3
67573,67573,3
26203,26203,3
51828,51828,3
97168,97168,2
98775,98775,3
37294,37294,3
38467,38467,3
55804,55804,3
25834,25834,3
74263,74263,3
45806,45806,3
69064,69064,3
74540,74540,2
13120,13120,3
90774,90774,3
36705,36705,3
39848,39848,3
38806,38806,3
60964,60964,3
91857,91857,3
25478,25478,3
36578,36578,2
83816,83816,3
27767,27767,3
84194,84194,3
9310,9310,3
52687,52687,3
85542,85542,3
69335,69335,3
61732,61732,3
22675,22675,4
88041,88041,4
97316,97316,1
89445,89445,2
79228,79228,3
36424,36424,3
56424,56424,3
72994,72994,3
19095,19095,3
12617,12617,3
17821,17821,3
108,108,3
70949,70949,2
14289,14289,3
97557,97557,3
34396,34396,3
85086,85086,3
46955,46955,3
63772,63772,3
83950,83950,3
79926,79926,3
45090,45090,2
80303,80303,3
5510,5510,3
24801,24801,3
22847,22847,3
28005,28005,3
55124,55124,3
59580,59580,3
69956,69956,3
17142,17142,2
90549,90549,3
69207,69207,3
66736,66736,3
59477,59477,3
11163,11163,3
29309,29309,3
75323,75323,3
3191,3191,3
62892,62892,2
42736,42736,3
64633,64633,3
46667,46667,3
52098,52098,3
32040,32040,3
28987,28987,3
14510,14510,3
57546,57546,3
41156,41156,2
45633,45633,3
94866,94866,3
43327,43327,3
93280,93280,3
68366,68366,3
31414,31414,3
92142,92142,3
70294,70294,3
93325,93325,2
85917,85917,3
78972,78972,3
32660,32660,3
52533,52533,3
35632,35632,3
35979,35979,3
39324,39324,3
19699,19699,3
59144,59144,2
66877,66877,3
23159,23159,3
31171,31171,3
45184,45184,3
70559,70559,3
76417,76417,3
40172,40172,3
29423,29423,3
56715,56715,4
8672,8672,4
44695,44695,1
47845,47845,2
74786,74786,3
12613,12613,3
11026,11026,3
22090,22090,3
88202,88202,3
60287,60287,3
34195,34195,3
76168,76168,3
68067,68067,2
46645,46645,3
54285,54285,3
57318,57318,3
64200,64200,3
28871,28871,3
21231,21231,3
51015,51015,3
24228,24228,3
88786,88786,2
50872,50872,3
86892,86892,3
73261,73261,3
81004,81004,3
14110,14110,3
12362,12362,3
25508,25508,3
3382,3382,3
47006,47006,2
66991,66991,3
71170,71170,3
9392,9392,3
15398,15398,3
34659,34659,3
81390,81390,3
93462,93462,3
47399,47399,3
21295,21295,2
82978,82978,3
90978,90978,3
25616,25616,3
34505,34505,3
53382,53382,3
71483,71483,3
99339,99339,3
56531,56531,3
26192,26192,2
7604,7604,3
17553,17553,3
59922,59922,3
12559,12559,3
60132,60132,3
29710,29710,3
77022,77022,3
35269,35269,3
67375,67375,2
30259,30259,3
36450,36450,3
41172,41172,3
64125,64125,3
94899,94899,3
97882,97882,3
68702,68702,3
84552,84552,3
79477,79477,2
94876,94876,3
33498,33498,3
76546,76546,3
65884,65884,3
73075,73075,3
65931,65931,3
62453,62453,3
58086,58086,3
35630,35630,4
96635,96635,4
54976,54976,1
96733,96733,2
6725,6725,3
81825,81825,3
66779,66779,3
3596,3596,3
94454,94454,3
11720,11720,3
47467,47467,3
62724,62724,3
53557,53557,2
65345,65345,3
18568,18568,3
64486,64486,3
6337,6337,3
78573,78573,3
63058,63058,3
78346,78346,3
95764,95764,3
53800,53800,2
81354,81354,3
30386,30386,3
58028,58028,3
64846,64846,3
14140,14140,3
88285,88285,3
89565,89565,3
81000,81000,3
6140,6140,2
35107,35107,3
95330,95330,3
10163,10163,3
91283,91283,3
94498,94498,3
36890,36890,3
81017,81017,3
36167,36167,3
60891,60891,2
51001,51001,3
41343,41343,3
130,130,3
96986,96986,3
61645,61645,3
94088,94088,3
30773,30773,3
53563,53563,3
79939,79939,2
28445,28445,3
82096,82096,3
8804,8804,3
69042,69042,3
81586,81586,3
9133,9133,3
29636,29636,3
84506,84506,3
9960,9960,2
61493,61493,3
19856,19856,3
4639,4639,3
61193,61193,3
26481,26481,3
86220,86220,3
77197,77197,3
57848,57848,3
61407,61407,2
14299,14299,3
90758,90758,3
30290,30290,3
87228,87228,3
29980,29980,3
72918,72918,3
19338,19338,3
40286,40286,3
6565,6565,4
71457,71457,4
69976,69976,1
7858,7858,2
90064,90064,3
16550,16550,3
45157,45157,3
56123,56123,3
26742,26742,3
19799,19799,3
27249,27249,3
92963,92963,3
62609,62609,2
60220,60220,3
96912,96912,3
15895,15895,3
52637,52637,3
33432,33432,3
47302,47302,3
15689,15689,3
34204,34204,3
59753,59753,2
48060,48060,3
8438,8438,3
86845,86845,3
51952,51952,3
66177,66177,3
32815,32815,3
36822,36822,3
81644,81644,3
98891,98891,2
15074,15074,3
6025,6025,3
49425,49425,3
24991,24991,3
91063,91063,3
92837,92837,3
94441,94441,3
42548,42548,3
84259,84259,2
19791,19791,3
85563,85563,3
28980,28980,3
31299,31299,3
51057,51057,3
94914,94914,3
9058,9058,3
51654,51654,3
64895,64895,2
99822,99822,3
40586,40586,3
82941,82941,3
70117,70117,3
98364,98364,3
38023,38023,3
17157,17157,3
80572,80572,3
54380,54380,2
4269,4269,3
80259,80259,3
