Source,Target,Type
3319,61428,Directed
61428,81564,Directed
81564,35615,Directed
81564,72666,Directed
81564,29497,Directed
81564,67501,Directed
81564,13513,Directed
81564,12839,Directed
61428,67408,Directed
67408,87244,Directed
67408,91939,Directed
67408,48776,Directed
67408,94192,Directed
67408,14335,Directed
67408,90178,Directed
61428,75644,Directed
75644,18547,Directed
75644,41141,Directed
75644,43000,Directed
75644,67544,Directed
75644,96620,Directed
75644,17895,Directed
61428,16905,Directed
16905,29305,Directed
16905,51343,Directed
16905,86158,Directed
16905,47544,Directed
16905,39193,Directed
16905,76773,Directed
61428,77321,Directed
77321,23964,Directed
77321,28016,Directed
77321,93038,Directed
77321,78166,Directed
77321,48112,Directed
77321,42524,Directed
61428,18478,Directed
18478,55700,Directed
18478,18243,Directed
18478,44484,Directed
18478,55418,Directed
18478,45552,Directed
18478,32975,Directed
61428,68055,Directed
68055,42125,Directed
68055,54921,Directed
68055,55957,Directed
68055,48873,Directed
68055,16834,Directed
68055,69359,Directed
61428,30347,Directed
30347,29021,Directed
30347,39320,Directed
30347,75243,Directed
30347,85290,Directed
30347,54472,Directed
30347,35265,Directed
30347,92495,Directed
30347,60457,Directed
60457,14381,Directed
60457,40354,Directed
60457,43352,Directed
3319,58253,Directed
58253,22223,Directed
22223,78237,Directed
22223,22298,Directed
22223,33764,Directed
22223,98244,Directed
22223,28094,Directed
22223,73379,Directed
58253,66192,Directed
66192,3470,Directed
66192,10378,Directed
66192,64168,Directed
66192,46059,Directed
66192,82739,Directed
66192,89113,Directed
58253,55678,Directed
55678,11550,Directed
55678,11625,Directed
55678,56121,Directed
55678,2141,Directed
55678,60066,Directed
55678,26840,Directed
58253,7873,Directed
7873,50430,Directed
7873,16923,Directed
7873,13700,Directed
7873,46328,Directed
7873,49536,Directed
7873,14352,Directed
58253,58558,Directed
58558,55997,Directed
58558,43090,Directed
58558,27748,Directed
58558,32064,Directed
58558,76309,Directed
58558,13122,Directed
58253,60054,Directed
60054,15870,Directed
60054,24922,Directed
60054,92666,Directed
60054,57979,Directed
60054,7512,Directed
60054,45165,Directed
58253,11955,Directed
11955,80398,Directed
11955,51051,Directed
11955,80303,Directed
11955,73675,Directed
11955,45341,Directed
11955,44478,Directed
58253,29432,Directed
29432,60707,Directed
29432,93219,Directed
29432,81278,Directed
29432,5896,Directed
29432,71365,Directed
29432,59171,Directed
29432,12458,Directed
29432,29910,Directed
29910,79766,Directed
29910,7911,Directed
29910,94277,Directed
3319,55378,Directed
55378,78464,Directed
78464,15639,Directed
78464,7186,Directed
78464,63604,Directed
78464,65485,Directed
78464,90704,Directed
78464,45947,Directed
55378,99252,Directed
99252,60292,Directed
99252,68259,Directed
99252,48255,Directed
99252,42864,Directed
99252,3289,Directed
99252,56591,Directed
55378,46273,Directed
46273,70554,Directed
46273,38671,Directed
46273,73889,Directed
46273,21345,Directed
46273,49765,Directed
46273,77138,Directed
55378,21151,Directed
21151,65289,Directed
21151,17077,Directed
21151,54793,Directed
21151,86795,Directed
21151,93244,Directed
21151,80013,Directed
55378,3136,Directed
3136,26656,Directed
3136,76438,Directed
3136,89538,Directed
3136,71715,Directed
3136,26067,Directed
3136,52986,Directed
55378,88064,Directed
88064,84809,Directed
88064,81281,Directed
88064,93491,Directed
88064,34962,Directed
88064,39667,Directed
88064,64573,Directed
55378,27950,Directed
27950,43567,Directed
27950,8543,Directed
27950,3676,Directed
27950,90740,Directed
27950,97391,Directed
27950,5681,Directed
55378,75505,Directed
75505,22649,Directed
75505,95715,Directed
75505,41842,Directed
75505,4310,Directed
75505,88178,Directed
75505,5612,Directed
75505,90872,Directed
75505,14607,Directed
14607,94778,Directed
14607,13735,Directed
14607,60204,Directed
3319,72373,Directed
72373,63056,Directed
63056,73931,Directed
63056,75788,Directed
63056,18089,Directed
63056,67738,Directed
