Id,Label,Depth
83993,83993,0
65733,65733,1
47307,47307,2
43031,43031,3
4732,4732,3
58971,58971,3
30653,30653,3
31714,31714,2
82005,82005,3
55718,55718,3
35786,35786,3
98821,98821,3
5523,5523,2
24831,24831,3
44200,44200,3
68924,68924,3
45310,45310,3
68280,68280,2
72374,72374,3
33656,33656,3
16159,16159,3
63196,63196,3
68150,68150,2
65066,65066,3
49672,49672,3
31325,31325,3
51294,51294,3
8847,8847,2
28920,28920,3
48671,48671,3
57782,57782,3
28597,28597,3
69737,69737,2
16073,16073,3
66523,66523,3
41616,41616,3
98672,98672,3
34265,34265,2
81999,81999,3
10925,10925,3
57466,57466,3
14543,14543,3
38991,38991,3
83185,83185,3
13105,13105,1
87664,87664,2
5908,5908,3
69344,69344,3
38469,38469,3
83481,83481,3
30805,30805,2
91038,91038,3
88655,88655,3
71953,71953,3
25740,25740,3
39748,39748,2
13739,13739,3
23382,23382,3
51362,51362,3
839,839,3
4424,4424,2
2089,2089,3
42448,42448,3
76988,76988,3
87666,87666,3
88651,88651,2
86826,86826,3
14485,14485,3
94392,94392,3
34787,34787,3
81248,81248,2
48378,48378,3
65295,65295,3
58349,58349,3
62358,62358,3
32548,32548,2
90097,90097,3
18671,18671,3
62816,62816,3
9677,9677,3
45118,45118,2
1851,1851,3
34216,34216,3
34533,34533,3
96443,96443,3
17136,17136,3
48150,48150,3
97935,97935,1
48659,48659,2
38188,38188,3
93373,93373,3
93249,93249,3
95187,95187,3
34084,34084,2
95987,95987,3
98829,98829,3
31560,31560,3
80675,80675,3
51359,51359,2
55704,55704,3
30462,30462,3
49622,49622,3
67925,67925,3
64792,64792,2
58751,58751,3
16816,16816,3
38682,38682,3
74968,74968,3
80605,80605,2
58948,58948,3
51511,51511,3
13898,13898,3
65165,65165,3
25027,25027,2
82896,82896,3
65409,65409,3
18918,18918,3
14589,14589,3
28976,28976,2
77177,77177,3
56161,56161,3
68477,68477,3
4695,4695,3
91739,91739,2
40704,40704,3
18978,18978,3
41055,41055,3
85722,85722,3
60188,60188,3
82683,82683,3
2534,2534,1
27342,27342,2
42292,42292,3
50319,50319,3
56650,56650,3
36073,36073,3
75370,75370,2
52871,52871,3
10272,10272,3
19828,19828,3
36255,36255,3
73172,73172,2
62125,62125,3
93125,93125,3
34262,34262,3
53610,53610,3
54494,54494,2
40616,40616,3
29544,29544,3
38734,38734,3
43902,43902,3
55852,55852,2
98683,98683,3
74146,74146,3
72531,72531,3
15562,15562,3
54951,54951,2
91644,91644,3
73749,73749,3
53072,53072,3
26876,26876,3
12841,12841,2
56962,56962,3
73403,73403,3
42060,42060,3
52440,52440,3
38170,38170,2
71442,71442,3
31827,31827,3
65039,65039,3
34874,34874,3
7809,7809,3
64376,64376,3
63135,63135,1
13755,13755,2
93445,93445,3
41635,41635,3
54447,54447,3
77248,77248,3
35961,35961,2
69876,69876,3
85688,85688,3
17042,17042,3
4538,4538,3
26907,26907,2
36910,36910,3
15383,15383,3
86820,86820,3
30757,30757,3
53018,53018,2
49730,49730,3
41934,41934,3
33381,33381,3
71610,71610,3
69793,69793,2
90111,90111,3
2801,2801,3
40467,40467,3
56183,56183,3
91726,91726,2
95433,95433,3
37722,37722,3
61654,61654,3
73674,73674,3
49610,49610,2
88385,88385,3
43458,43458,3
76265,76265,3
210,210,3
7026,7026,2
3282,3282,3
31835,31835,3
79644,79644,3
59288,59288,3
55279,55279,3
93657,93657,3
56063,56063,1
3238,3238,2
35470,35470,3
11488,11488,3
75740,75740,3
11357,11357,3
59725,59725,2
32447,32447,3
53262,53262,3
18943,18943,3
49111,49111,3
96204,96204,2
19266,19266,3
22206,22206,3
84209,84209,3
49060,49060,3
45479,45479,2
19457,19457,3
34425,34425,3
59138,59138,3
91614,91614,3
1917,1917,2
78533,78533,3
79574,79574,3
37676,37676,3
52352,52352,3
25104,25104,2
88419,88419,3
40796,40796,3
16932,16932,3
32545,32545,3
67834,67834,2
45278,45278,3
83372,83372,3
79398,79398,3
51165,51165,3
13282,13282,2
48203,48203,3
41808,41808,3
21430,21430,3
40275,40275,3
39753,39753,3
42381,42381,3
39150,39150,1
3891,3891,2
57985,57985,3
99771,99771,3
46627,46627,3
29706,29706,3
69371,69371,2
21369,21369,3
17184,17184,3
27651,27651,3
12937,12937,3
19476,19476,2
28294,28294,3
19190,19190,3
70091,70091,3
87005,87005,3
75278,75278,2
63554,63554,3
11644,11644,3
40226,40226,3
41251,41251,3
62542,62542,2
34446,34446,3
37405,37405,3
99740,99740,3
61758,61758,3
31412,31412,2
17855,17855,3
63600,63600,3
89850,89850,3
83267,83267,3
21139,21139,2
26267,26267,3
23218,23218,3
78859,78859,3
18187,18187,3
66249,66249,2
60218,60218,3
97683,97683,3
17644,17644,3
30172,30172,3
74121,74121,3
26338,26338,3
55779,55779,1
72490,72490,2
97509,97509,3
12391,12391,3
80320,80320,3
80486,80486,3
80458,80458,2
7160,7160,3
1418,1418,3
53328,53328,3
47464,47464,3
8107,8107,2
70831,70831,3
88124,88124,3
90290,90290,3
49586,49586,3
24431,24431,2
84297,84297,3
75154,75154,3
45749,45749,3
84858,84858,3
78391,78391,2
93364,93364,3
19360,19360,3
21869,21869,3
49550,49550,3
79963,79963,2
84034,84034,3
86897,86897,3
41691,41691,3
36832,36832,3
23914,23914,2
17711,17711,3
92011,92011,3
35246,35246,3
2701,2701,3
69588,69588,2
66118,66118,3
85084,85084,3
68430,68430,3
17476,17476,3
17626,17626,3
96056,96056,3
67662,67662,3
66925,66925,3
41238,41238,4
80573,80573,4
