Id,Label,Depth
3319,3319,0
61428,61428,1
81564,81564,2
35615,35615,3
72666,72666,3
29497,29497,3
67501,67501,3
13513,13513,3
12839,12839,3
67408,67408,2
87244,87244,3
91939,91939,3
48776,48776,3
94192,94192,3
14335,14335,3
90178,90178,3
75644,75644,2
18547,18547,3
41141,41141,3
43000,43000,3
67544,67544,3
96620,96620,3
17895,17895,3
16905,16905,2
29305,29305,3
51343,51343,3
86158,86158,3
47544,47544,3
39193,39193,3
76773,76773,3
77321,77321,2
23964,23964,3
28016,28016,3
93038,93038,3
78166,78166,3
48112,48112,3
42524,42524,3
18478,18478,2
55700,55700,3
18243,18243,3
44484,44484,3
55418,55418,3
45552,45552,3
32975,32975,3
68055,68055,2
42125,42125,3
54921,54921,3
55957,55957,3
48873,48873,3
16834,16834,3
69359,69359,3
30347,30347,2
29021,29021,3
39320,39320,3
75243,75243,3
85290,85290,3
54472,54472,3
35265,35265,3
92495,92495,3
60457,60457,3
14381,14381,4
40354,40354,4
43352,43352,4
58253,58253,1
22223,22223,2
78237,78237,3
22298,22298,3
33764,33764,3
98244,98244,3
28094,28094,3
73379,73379,3
66192,66192,2
3470,3470,3
10378,10378,3
64168,64168,3
46059,46059,3
82739,82739,3
89113,89113,3
55678,55678,2
11550,11550,3
11625,11625,3
56121,56121,3
2141,2141,3
60066,60066,3
26840,26840,3
7873,7873,2
50430,50430,3
16923,16923,3
13700,13700,3
46328,46328,3
49536,49536,3
14352,14352,3
58558,58558,2
55997,55997,3
43090,43090,3
27748,27748,3
32064,32064,3
76309,76309,3
13122,13122,3
60054,60054,2
15870,15870,3
24922,24922,3
92666,92666,3
57979,57979,3
7512,7512,3
45165,45165,3
11955,11955,2
80398,80398,3
51051,51051,3
80303,80303,3
73675,73675,3
45341,45341,3
44478,44478,3
29432,29432,2
60707,60707,3
93219,93219,3
81278,81278,3
5896,5896,3
71365,71365,3
59171,59171,3
12458,12458,3
29910,29910,3
79766,79766,4
7911,7911,4
94277,94277,4
55378,55378,1
78464,78464,2
15639,15639,3
7186,7186,3
63604,63604,3
65485,65485,3
90704,90704,3
45947,45947,3
99252,99252,2
60292,60292,3
