Source,Target,Type
83993,65733,Directed
65733,47307,Directed
47307,43031,Directed
47307,4732,Directed
47307,58971,Directed
47307,30653,Directed
65733,31714,Directed
31714,82005,Directed
31714,55718,Directed
31714,35786,Directed
31714,98821,Directed
65733,5523,Directed
5523,24831,Directed
5523,44200,Directed
5523,68924,Directed
5523,45310,Directed
65733,68280,Directed
68280,72374,Directed
68280,33656,Directed
68280,16159,Directed
68280,63196,Directed
65733,68150,Directed
68150,65066,Directed
68150,49672,Directed
68150,31325,Directed
68150,51294,Directed
65733,8847,Directed
8847,28920,Directed
8847,48671,Directed
8847,57782,Directed
8847,28597,Directed
65733,69737,Directed
69737,16073,Directed
69737,66523,Directed
69737,41616,Directed
69737,98672,Directed
65733,34265,Directed
34265,81999,Directed
34265,10925,Directed
34265,57466,Directed
34265,14543,Directed
34265,38991,Directed
34265,83185,Directed
83993,13105,Directed
13105,87664,Directed
87664,5908,Directed
87664,69344,Directed
87664,38469,Directed
87664,83481,Directed
13105,30805,Directed
30805,91038,Directed
30805,88655,Directed
30805,71953,Directed
30805,25740,Directed
13105,39748,Directed
39748,13739,Directed
39748,23382,Directed
39748,51362,Directed
39748,839,Directed
13105,4424,Directed
4424,2089,Directed
4424,42448,Directed
4424,76988,Directed
4424,87666,Directed
13105,88651,Directed
88651,86826,Directed
88651,14485,Directed
88651,94392,Directed
88651,34787,Directed
13105,81248,Directed
81248,48378,Directed
81248,65295,Directed
81248,58349,Directed
81248,62358,Directed
13105,32548,Directed
32548,90097,Directed
32548,18671,Directed
32548,62816,Directed
32548,9677,Directed
13105,45118,Directed
45118,1851,Directed
45118,34216,Directed
45118,34533,Directed
45118,96443,Directed
45118,17136,Directed
45118,48150,Directed
83993,97935,Directed
97935,48659,Directed
48659,38188,Directed
48659,93373,Directed
48659,93249,Directed
48659,95187,Directed
97935,34084,Directed
34084,95987,Directed
34084,98829,Directed
34084,31560,Directed
34084,80675,Directed
97935,51359,Directed
51359,55704,Directed
51359,30462,Directed
51359,49622,Directed
51359,67925,Directed
97935,64792,Directed
64792,58751,Directed
64792,16816,Directed
64792,38682,Directed
64792,74968,Directed
97935,80605,Directed
80605,58948,Directed
80605,51511,Directed
80605,13898,Directed
80605,65165,Directed
97935,25027,Directed
25027,82896,Directed
25027,65409,Directed
25027,18918,Directed
25027,14589,Directed
97935,28976,Directed
28976,77177,Directed
28976,56161,Directed
28976,68477,Directed
28976,4695,Directed
97935,91739,Directed
91739,40704,Directed
91739,18978,Directed
91739,41055,Directed
91739,85722,Directed
91739,60188,Directed
91739,82683,Directed
83993,2534,Directed
2534,27342,Directed
27342,42292,Directed
27342,50319,Directed
27342,56650,Directed
27342,36073,Directed
2534,75370,Directed
75370,52871,Directed
75370,10272,Directed
75370,19828,Directed
75370,36255,Directed
2534,73172,Directed
73172,62125,Directed
73172,93125,Directed
73172,34262,Directed
73172,53610,Directed
2534,54494,Directed
54494,40616,Directed
54494,29544,Directed
54494,38734,Directed
54494,43902,Directed
2534,55852,Directed
55852,98683,Directed
55852,74146,Directed
55852,72531,Directed
55852,15562,Directed
2534,54951,Directed
54951,91644,Directed
54951,73749,Directed
54951,53072,Directed
54951,26876,Directed
2534,12841,Directed
12841,56962,Directed
12841,73403,Directed
12841,42060,Directed
12841,52440,Directed
2534,38170,Directed
38170,71442,Directed
38170,31827,Directed
38170,65039,Directed
38170,34874,Directed
38170,7809,Directed
38170,64376,Directed
83993,63135,Directed
63135,13755,Directed
13755,93445,Directed
13755,41635,Directed
13755,54447,Directed
13755,77248,Directed
63135,35961,Directed
35961,69876,Directed
35961,85688,Directed
35961,17042,Directed
35961,4538,Directed
63135,26907,Directed
26907,36910,Directed
26907,15383,Directed
26907,86820,Directed
26907,30757,Directed
63135,53018,Directed
53018,49730,Directed
53018,41934,Directed
53018,33381,Directed
53018,71610,Directed
63135,69793,Directed
69793,90111,Directed
69793,2801,Directed
69793,40467,Directed
69793,56183,Directed
63135,91726,Directed
91726,95433,Directed
91726,37722,Directed
91726,61654,Directed
91726,73674,Directed
63135,49610,Directed
49610,88385,Directed
49610,43458,Directed
49610,76265,Directed
49610,210,Directed
63135,7026,Directed
7026,3282,Directed
7026,31835,Directed
7026,79644,Directed
7026,59288,Directed
7026,55279,Directed
7026,93657,Directed
83993,56063,Directed
56063,3238,Directed
3238,35470,Directed
3238,11488,Directed
3238,75740,Directed
3238,11357,Directed
56063,59725,Directed
59725,32447,Directed
59725,53262,Directed
59725,18943,Directed
59725,49111,Directed
56063,96204,Directed
96204,19266,Directed
96204,22206,Directed
96204,84209,Directed
96204,49060,Directed
56063,45479,Directed
45479,19457,Directed
45479,34425,Directed
45479,59138,Directed
45479,91614,Directed
56063,1917,Directed
1917,78533,Directed
1917,79574,Directed
1917,37676,Directed
1917,52352,Directed
56063,25104,Directed
25104,88419,Directed
25104,40796,Directed
25104,16932,Directed
25104,32545,Directed
56063,67834,Directed
67834,45278,Directed
67834,83372,Directed
67834,79398,Directed
67834,51165,Directed
56063,13282,Directed
13282,48203,Directed
13282,41808,Directed
13282,21430,Directed
13282,40275,Directed
13282,39753,Directed
13282,42381,Directed
83993,39150,Directed
39150,3891,Directed
3891,57985,Directed
3891,99771,Directed
3891,46627,Directed
3891,29706,Directed
39150,69371,Directed
69371,21369,Directed
69371,17184,Directed
69371,27651,Directed
69371,12937,Directed
39150,19476,Directed
19476,28294,Directed
19476,19190,Directed
