Source,Target,Type
0,41293,Directed
41293,96904,Directed
96904,77198,Directed
96904,81585,Directed
96904,70839,Directed
96904,49437,Directed
96904,86731,Directed
96904,71334,Directed
96904,55054,Directed
41293,18364,Directed
18364,33093,Directed
18364,25980,Directed
18364,42233,Directed
18364,47462,Directed
18364,13933,Directed
18364,59489,Directed
18364,90903,Directed
41293,94664,Directed
94664,71373,Directed
94664,31205,Directed
94664,2413,Directed
94664,26636,Directed
94664,16651,Directed
41293,36085,Directed
36085,51209,Directed
36085,93784,Directed
36085,89804,Directed
36085,3395,Directed
36085,15152,Directed
36085,68604,Directed
36085,83421,Directed
0,61787,Directed
61787,64066,Directed
64066,82979,Directed
64066,92664,Directed
64066,96383,Directed
64066,8252,Directed
64066,91590,Directed
64066,19407,Directed
64066,67861,Directed
61787,24615,Directed
24615,914,Directed
24615,74734,Directed
24615,38966,Directed
24615,39017,Directed
24615,9756,Directed
24615,9449,Directed
24615,84531,Directed
24615,21376,Directed
61787,24131,Directed
24131,66987,Directed
24131,38286,Directed
24131,20174,Directed
24131,34344,Directed
24131,88999,Directed
24131,33573,Directed
24131,58354,Directed
61787,85771,Directed
85771,55301,Directed
85771,91815,Directed
85771,38048,Directed
85771,81861,Directed
85771,61845,Directed
85771,80113,Directed
85771,24756,Directed
61787,36295,Directed
36295,73866,Directed
36295,44221,Directed
36295,27836,Directed
36295,20335,Directed
36295,10701,Directed
36295,82597,Directed
36295,13659,Directed
36295,85075,Directed
61787,41368,Directed
41368,69736,Directed
41368,23728,Directed
41368,82908,Directed
41368,4864,Directed
41368,9622,Directed
41368,14088,Directed
41368,93116,Directed
0,89742,Directed
89742,55027,Directed
55027,2752,Directed
89742,37837,Directed
37837,69467,Directed
37837,63615,Directed
37837,39149,Directed
37837,36032,Directed
37837,37014,Directed
89742,99270,Directed
99270,25589,Directed
99270,81481,Directed
99270,24458,Directed
89742,32953,Directed
32953,40802,Directed
32953,42543,Directed
32953,15263,Directed
32953,8359,Directed
32953,70418,Directed
32953,35666,Directed
32953,25201,Directed
89742,24663,Directed
24663,18983,Directed
24663,68426,Directed
24663,64083,Directed
24663,23467,Directed
24663,85403,Directed
24663,79584,Directed
24663,26501,Directed
24663,93320,Directed
89742,43413,Directed
43413,62415,Directed
43413,61974,Directed
43413,84320,Directed
43413,37187,Directed
43413,60729,Directed
43413,22680,Directed
43413,28725,Directed
89742,57363,Directed
57363,46590,Directed
57363,22250,Directed
57363,63743,Directed
57363,49223,Directed
57363,22504,Directed
57363,32859,Directed
89742,92369,Directed
92369,1223,Directed
92369,81544,Directed
92369,50356,Directed
92369,63112,Directed
92369,17782,Directed
92369,41468,Directed
92369,72121,Directed
92369,43831,Directed
0,80448,Directed
80448,34737,Directed
34737,51860,Directed
34737,80278,Directed
34737,78459,Directed
34737,4630,Directed
34737,99744,Directed
34737,16393,Directed
34737,62066,Directed
34737,69170,Directed
80448,73589,Directed
73589,69281,Directed
73589,6318,Directed
73589,18035,Directed
73589,55753,Directed
73589,3023,Directed
73589,98637,Directed
73589,40591,Directed
73589,70188,Directed
80448,50694,Directed
50694,24691,Directed
50694,45683,Directed
50694,5232,Directed
50694,86376,Directed
50694,32983,Directed
50694,54938,Directed
50694,61816,Directed
50694,80404,Directed
80448,62509,Directed
62509,25157,Directed
62509,49293,Directed
62509,67010,Directed
62509,53550,Directed
62509,48234,Directed
80448,99702,Directed
99702,6010,Directed
99702,30965,Directed
99702,28723,Directed
99702,75536,Directed
99702,85956,Directed
99702,13679,Directed
99702,22950,Directed
99702,85979,Directed
80448,81054,Directed
81054,57830,Directed
81054,13000,Directed
81054,42800,Directed
81054,32739,Directed
81054,60407,Directed
81054,59895,Directed
81054,96488,Directed
81054,22715,Directed
80448,21355,Directed
21355,39021,Directed
21355,57049,Directed
21355,57165,Directed
21355,67850,Directed
21355,80195,Directed
21355,86405,Directed
80448,22145,Directed
22145,4045,Directed
22145,70647,Directed
22145,78022,Directed
22145,96894,Directed
22145,79924,Directed
22145,56861,Directed
22145,48436,Directed
0,72023,Directed
72023,2262,Directed
2262,84440,Directed
2262,53197,Directed
2262,24016,Directed
72023,87126,Directed
87126,20711,Directed
87126,16739,Directed
87126,60323,Directed
87126,662,Directed
72023,82987,Directed
82987,3195,Directed
82987,62666,Directed
82987,35750,Directed
82987,78010,Directed
82987,22458,Directed
72023,21605,Directed
21605,49807,Directed
21605,24202,Directed
21605,79209,Directed
72023,20154,Directed
20154,38497,Directed
20154,87355,Directed
20154,72144,Directed
20154,83158,Directed
20154,21502,Directed
20154,97394,Directed
0,96641,Directed
96641,27423,Directed
27423,32396,Directed
27423,77771,Directed
27423,25913,Directed
27423,92428,Directed
27423,68463,Directed
27423,36123,Directed
27423,17171,Directed
27423,68206,Directed
96641,97654,Directed
97654,75085,Directed
97654,67602,Directed
97654,2441,Directed
97654,6267,Directed
96641,44866,Directed
44866,87960,Directed
44866,71750,Directed
44866,68404,Directed
44866,96673,Directed
44866,56835,Directed
44866,55400,Directed
44866,96887,Directed
44866,84873,Directed
96641,38057,Directed
38057,92325,Directed
38057,1655,Directed
38057,54413,Directed
38057,95400,Directed
38057,13395,Directed
38057,59367,Directed
38057,50576,Directed
38057,63401,Directed
96641,71982,Directed
71982,23067,Directed
71982,84541,Directed
71982,99536,Directed
71982,94287,Directed
71982,99341,Directed
71982,31222,Directed
96641,457,Directed
457,86217,Directed
457,22576,Directed
96641,36608,Directed
36608,23783,Directed
36608,84528,Directed
36608,93907,Directed
36608,3404,Directed
36608,20459,Directed
36608,59685,Directed
36608,36042,Directed
96641,91617,Directed
91617,4085,Directed
91617,70716,Directed
91617,35275,Directed
91617,22920,Directed
91617,21836,Directed
91617,74024,Directed
0,80911,Directed
80911,18984,Directed
18984,55410,Directed
18984,15690,Directed
18984,51966,Directed
18984,74988,Directed
18984,40717,Directed
18984,76356,Directed
80911,76613,Directed
76613,8091,Directed
76613,71471,Directed
76613,62654,Directed
76613,43719,Directed
76613,73285,Directed
76613,79289,Directed
76613,84041,Directed
76613,67576,Directed
80911,39614,Directed
39614,542,Directed
39614,5377,Directed
39614,55233,Directed
39614,93541,Directed
39614,15281,Directed
80911,99955,Directed
99955,49772,Directed
99955,35741,Directed
99955,49098,Directed
99955,87329,Directed
99955,36387,Directed
99955,93574,Directed
99955,91239,Directed
99955,93287,Directed
80911,31567,Directed
31567,99151,Directed
31567,16812,Directed
31567,88814,Directed
31567,56732,Directed
31567,24842,Directed
31567,56744,Directed
80911,90247,Directed
90247,38926,Directed
90247,78515,Directed
90247,59019,Directed
90247,60607,Directed
90247,91886,Directed
80911,45744,Directed
45744,34426,Directed
45744,99560,Directed
45744,73123,Directed
45744,51262,Directed
45744,42366,Directed
45744,18901,Directed
45744,52893,Directed
80911,97840,Directed
97840,18070,Directed
97840,93767,Directed
97840,32324,Directed
97840,49069,Directed
97840,8856,Directed
97840,51570,Directed
97840,11765,Directed
97840,7699,Directed
0,80292,Directed
80292,616,Directed
616,34923,Directed
616,25287,Directed
616,20894,Directed
616,43863,Directed
616,7399,Directed
616,41758,Directed
616,17403,Directed
616,90926,Directed
80292,86379,Directed
86379,57063,Directed
86379,8015,Directed
86379,42750,Directed
86379,18346,Directed
86379,79131,Directed
86379,27776,Directed
86379,35575,Directed
86379,5526,Directed
80292,81519,Directed
81519,70830,Directed
81519,85546,Directed
81519,52672,Directed
81519,66803,Directed
81519,88876,Directed
81519,73857,Directed
81519,95922,Directed
81519,91406,Directed
80292,81567,Directed
81567,75787,Directed
81567,24038,Directed
81567,5147,Directed
81567,81212,Directed
81567,98651,Directed
81567,48235,Directed
81567,15902,Directed
81567,56982,Directed
80292,77554,Directed
77554,52688,Directed
77554,38176,Directed
77554,85854,Directed
77554,429,Directed
77554,15,Directed
77554,89532,Directed
77554,37276,Directed
80292,31143,Directed
31143,41973,Directed
31143,26054,Directed
31143,12783,Directed
31143,566,Directed
31143,17225,Directed
31143,75999,Directed
31143,91314,Directed
31143,97752,Directed
80292,71099,Directed
71099,31588,Directed
71099,69217,Directed
71099,87773,Directed
71099,25936,Directed
71099,50147,Directed
71099,80797,Directed
71099,88203,Directed
71099,89813,Directed
80292,13615,Directed
13615,73892,Directed
13615,9998,Directed
13615,51161,Directed
13615,49311,Directed
13615,99568,Directed
13615,42268,Directed
