Id,Degree,Depth
28680,205,1
81655,41,2
21728,1,3
91931,3,3
91059,7,3
23520,6,3
60280,7,3
95166,4,3
23025,13,3
48477,75,2
61649,6,3
75212,3,3
18495,10,3
23634,5,3
6556,15,3
18986,6,3
83434,16,3
75968,14,3
56484,41,2
89902,10,3
60339,12,3
50661,4,3
78309,7,3
94029,8,3
91442,48,2
39169,5,3
78906,1,3
82959,4,3
21811,8,3
37002,8,3
31255,3,3
25531,10,3
60491,9,3
90671,486,1
92141,48,2
51569,1,3
7482,6,3
89638,8,3
66610,11,3
52396,7,3
4658,4,3
24244,11,3
51959,74,2
2958,5,3
73909,1,3
10340,14,3
52936,8,3
42592,12,3
38876,13,3
58635,10,3
20130,11,3
87945,89,2
21175,3,3
94182,1,3
41241,19,3
74688,11,3
55186,19,3
805,22,3
39046,14,3
68006,42,2
38834,5,3
15743,2,3
65600,8,3
65748,6,3
10630,4,3
67346,11,3
80428,6,3
60951,110,2
87366,2,3
8338,18,3
7621,13,3
66847,19,3
98770,5,3
42994,27,3
41852,19,3
12135,7,3
5945,123,2
26647,25,3
52779,1,3
7663,15,3
74580,10,3
3369,17,3
87077,10,3
23562,24,3
76119,21,3
38869,478,1
39850,3,2
54849,1,3
42718,1,3
83791,1,3
30946,49,2
80849,20,3
57629,9,3
878,1,3
59866,6,3
29078,1,3
31076,12,3
79707,6,2
21530,1,3
35299,1,3
79007,1,3
29014,2,3
22353,1,3
53551,67,2
75680,9,3
27853,11,3
20361,4,3
84961,8,3
8753,19,3
98194,15,3
52208,1,3
15762,90,2
17948,6,3
97625,7,3
65692,1,3
50544,10,3
24579,19,3
43761,20,3
20471,7,3
85047,20,3
68023,89,2
70048,13,3
32496,18,3
26833,11,3
53641,11,3
20562,6,3
80164,21,3
2159,9,3
14179,33,2
43461,7,3
93749,16,3
85606,7,3
50739,3,3
26353,141,2
95622,20,3
6370,20,3
15760,29,3
45058,7,3
76290,20,3
22512,11,3
66716,24,3
93533,10,3
61296,772,1
57482,110,2
57037,14,3
61252,10,3
85264,17,3
53685,4,3
48609,20,3
30643,15,3
36048,29,3
73520,1,3
77156,141,2
87417,27,3
86420,6,3
31349,21,3
56165,4,3
85596,29,3
52057,11,3
75546,28,3
80729,15,3
85572,23,2
41412,5,3
80453,2,3
7826,3,3
79375,1,3
43836,4,3
28383,1,3
71420,3,3
42797,4,3
59629,22,2
91717,4,3
13307,6,3
86669,4,3
26108,3,3
71055,5,3
16948,92,2
86187,17,3
16216,17,3
26049,1,3
28897,18,3
25804,9,3
71581,23,3
25602,3,3
19127,4,3
38257,238,2
68078,39,3
31856,34,3
95894,25,3
36538,44,3
49733,35,3
32844,6,3
55553,34,3
26535,21,3
86643,70,2
86768,2,3
17052,9,3
62669,17,3
35561,2,3
756,29,3
77548,11,3
82951,76,2
61292,11,3
12016,19,3
54915,10,3
32125,8,3
76472,12,3
38856,14,3
86444,2,3
40683,47,1
47288,6,2
31984,2,3
73773,1,3
56766,1,3
27964,2,3
47496,10,2
35046,4,3
81922,1,3
95517,1,3
84603,1,3
75807,2,3
6459,1,3
64790,13,2
49848,4,3
33430,1,3
39373,1,3
56239,2,3
20596,1,3
73816,4,3
23010,11,2
73052,3,3
7264,3,3
47720,1,3
15944,4,3
96190,7,2
6859,2,3
49450,1,3
10705,2,3
46298,1,3
78505,1,3
38648,664,1
37163,168,2
92400,31,3
37908,9,3
94546,31,3
6385,22,3
14174,9,3
52770,14,3
82812,23,3
2491,29,3
73310,43,2
52722,3,3
10475,12,3
27157,3,3
28880,11,3
62336,10,3
67717,4,3
98867,116,2
73086,11,3
11625,18,3
13483,12,3
93669,16,3
56589,29,3
52294,8,3
32864,11,3
84910,11,3
53515,192,2
18914,29,3
5020,24,3
39155,28,3
61628,22,3
68559,21,3
60330,10,3
75007,32,3
51834,26,3
88313,23,2
60650,1,3
61651,4,3
27308,7,3
9677,3,3
99883,1,3
2024,2,3
73076,4,3
66518,1,3
4562,10,2
59883,3,3
7924,1,3
44787,3,3
24252,1,3
73424,1,3
32393,1,3
29541,89,2
49382,17,3
32112,6,3
1164,17,3
40727,10,3
85325,17,3
48245,1,3
33191,20,3
19635,1,3
60328,23,2
12564,3,3
83500,8,3
59940,6,3
9444,1,3
70500,2,3
62592,3,3
77939,465,1
21782,54,2
49378,12,3
69139,13,3
54080,7,3
96154,12,3
61193,3,3
36421,7,3
83259,93,2
2047,22,3
45710,12,3
98688,7,3
51820,14,3
82332,7,3
21739,7,3
42424,11,3
39159,13,3
70784,17,2
60754,1,3
4811,2,3
91962,2,3
80745,6,3
15091,2,3
99560,4,3
94745,110,2
51963,8,3
23286,9,3
410,8,3
22483,21,3
30596,26,3
56246,8,3
51509,8,3
8782,22,3
31049,23,2
45682,2,3
91187,4,3
70369,1,3
84880,6,3
92720,1,3
23638,5,3
6955,4,3
46434,35,2
24655,13,3
70026,4,3
2883,4,3
24116,13,3
69621,1,3
25353,73,2
23957,10,3
75730,19,3
1309,2,3
31170,12,3
9117,12,3
16797,15,3
30012,1,3
92691,2,3
7380,60,2
54809,11,3
63761,2,3
15453,13,3
76087,11,3
52542,9,3
38221,4,3
46009,7,3
33079,3,3
25441,979,1
33840,150,2
26183,33,3
64552,13,3
61209,24,3
41084,11,3
79215,15,3
91492,13,3
53471,12,3
36013,29,3
32731,226,2
96340,20,3
93075,28,3
15043,11,3
34775,30,3
28811,34,3
4781,40,3
65149,29,3
24797,34,3
22035,199,2
22598,35,3
80266,20,3
55567,41,3
21395,29,3
60385,7,3
43961,17,3
73603,32,3
41413,18,3
47651,106,2
10481,16,3
52774,12,3
59745,7,3
63315,2,3
91003,26,3
86496,26,3
65444,12,3
94833,5,3
71417,115,2
58085,16,3
20686,22,3
41462,18,3
19222,22,3
98386,6,3
70834,3,3
89582,16,3
96057,12,3
99465,55,2
60848,11,3
19461,3,3
90613,13,3
80261,8,3
43229,2,3
96400,2,3
53817,12,3
20652,4,3
54006,96,2
68025,7,3
78463,28,3
34893,4,3
40844,12,3
74296,20,3
6670,17,3
10045,3,3
8029,5,3
86393,32,2
26271,6,3
15221,7,3
10754,5,3
94413,4,3
65755,4,3
71379,2,3
53185,3,3
87007,1,3
0,4096,0
